Bar~0@0,Swing,4/4,A,140.0
Bass,38,247.0,1,67
Drums,44,247.0,0.25,64
Bar~62@248,Swing,4/4,A,140.0
Bass,36,248.0,1,72
Drums,44,248.0,0.25,75
Bass,36,249.0,0.666,70
Drums,40,249.0,0.25,80
Drums,44,249.0,0.25,78
Bass,36,250.0,1,79
Drums,44,250.0,0.25,61
Piano,55,250.0,1,71
Piano,60,250.0,1,76
Piano,64,250.0,1,63
Piano,67,250.0,1,79
Bass,31,251.0,1,61
Drums,44,251.0,0.25,67
Bar~63@252,Swing,4/4,A,140.0
Bass,48,252.0,1,65
Drums,44,252.0,0.25,63
Piano,48,252.0,1,77
Piano,52,252.0,1,78
Piano,55,252.0,1,64
Piano,60,252.0,1,64
Bass,43,253.0,1,64
Drums,44,253.0,0.25,60
Bass,36,254.0,0.5,75
Piano,60,254.0,1,61
Piano,64,254.0,1,63
Piano,67,254.0,1,68
Piano,72,254.0,1,60
Drums,36,255.0,0.25,63
Drums,44,255.0,0.25,74
Bar~64@256,Swing,4/4,A,140.0
Bass,36,256.0,1,60
Bass,36,257.0,1,64
Drums,44,257.0,0.333,67
Piano,48,257.0,1,77
Piano,52,257.0,1,67
Piano,55,257.0,1,72
Piano,60,257.0,1,76
Bass,36,258.0,1,80
Drums,44,258.0,0.333,71
Bass,36,259.0,0.666,73
Drums,44,259.0,0.25,65
Bar~65@260,Swing,4/4,A,140.0
Drums,44,260.0,0.333,71
Bass,31,261.0,1,68
Drums,44,261.0,0.333,63
Bass,36,262.0,1,62
Drums,44,262.0,0.333,79
Piano,52,262.0,0.666,80
Piano,55,262.0,0.666,76
Piano,60,262.0,0.666,68
Piano,67,262.0,0.666,77
Bass,31,263.0,0.5,79
Drums,44,263.0,0.25,80
Bar~66@264,Swing,4/4,A,140.0
Bass,35,264.0,0.750,66
Drums,44,264.0,0.333,79
Piano,50,264.0,1,75
Piano,59,264.0,1,67
Piano,65,264.0,1,60
Piano,71,264.0,1,74
Piano,77,264.0,1,74
Bass,29,265.0,1,60
Drums,44,265.0,0.333,63
Bass,35,266.0,1,79
Drums,44,266.0,0.333,69
Bass,29,267.0,1,74
Drums,44,267.0,0.333,75
Bar~67@268,Swing,4/4,A,140.0
Bass,28,268.0,1,66
Drums,44,268.0,0.333,75
Bass,39,269.0,1,60
Drums,44,269.0,0.333,70
Piano,47,269.0,0.666,65
Piano,52,269.0,0.666,64
Piano,56,269.0,0.666,76
Piano,64,269.0,0.666,73
Piano,71,269.0,0.666,68
Piano,76,269.0,0.666,77
Bass,28,270.0,1,69
Drums,44,270.0,0.333,69
Piano,56,270.0,0.666,68
Piano,64,270.0,0.666,67
Piano,71,270.0,0.666,73
Piano,76,270.0,0.666,76
Piano,83,270.0,0.666,77
Bass,32,271.0,0.666,70
Drums,44,271.0,0.25,80
Bar~68@272,Swing,4/4,A,140.0
Bass,33,272.0,0.666,72
Drums,44,272.0,0.333,60
Piano,48,272.0,1,66
Piano,52,272.0,1,79
Piano,57,272.0,1,76
Piano,64,272.0,1,74
Piano,69,272.0,1,63
Piano,76,272.0,1,65
Bass,40,273.0,0.750,61
Drums,44,273.0,0.333,70
Bass,33,274.0,1,78
Drums,44,274.0,0.25,70
Piano,48,274.0,1,64
Piano,52,274.0,1,70
Piano,57,274.0,1,64
Piano,64,274.0,1,75
Piano,69,274.0,1,60
Piano,76,274.0,1,72
Bass,44,275.0,1,77
Drums,44,275.0,0.333,62
Bar~69@276,Swing,4/4,A,140.0
Bass,45,276.0,0.5,76
Drums,44,276.0,0.333,78
Piano,48,276.0,1,77
Piano,52,276.0,1,71
Piano,57,276.0,1,79
Piano,64,276.0,1,61
Piano,69,276.0,1,63
Piano,76,276.0,1,64
Bass,40,277.0,1,75
Drums,44,277.0,0.333,63
Bass,33,278.0,1,71
Drums,44,278.0,0.333,78
Piano,57,278.0,1,80
Piano,60,278.0,1,62
Piano,64,278.0,1,67
Piano,69,278.0,1,65
Bass,31,279.0,0.666,75
Drums,44,279.0,0.333,60
Bar~70@280,Swing,4/4,A,140.0
Bass,31,280.0,1,69
Drums,44,280.0,0.333,69
Piano,55,280.0,1,69
Piano,58,280.0,1,71
Piano,62,280.0,1,74
Piano,67,280.0,1,77
Bass,38,281.0,1,62
Drums,44,281.0,0.25,68
Bass,31,282.0,1,64
Drums,44,282.0,0.333,66
Piano,55,282.0,1,67
Piano,58,282.0,1,69
Piano,62,282.0,1,66
Piano,67,282.0,1,72
Bass,34,283.0,1,64
Drums,44,283.0,0.25,71
Bar~71@284,Swing,4/4,A,140.0
Bass,36,284.0,1,74
Drums,44,284.0,0.333,75
Piano,55,284.0,1,65
Piano,60,284.0,1,71
Piano,64,284.0,1,79
Piano,67,284.0,1,79
Bass,35,285.0,1,76
Drums,44,285.0,0.25,74
Bass,36,286.0,0.5,61
Piano,48,286.0,1,75
Piano,52,286.0,1,64
Piano,55,286.0,1,63
Piano,60,286.0,1,79
Bass,40,287.0,0.5,73
Drums,36,287.0,0.25,68
Drums,44,287.0,0.25,75
Bar~72@288,Swing,4/4,A,140.0
Bass,41,288.0,1,72
Bass,36,289.0,1,60
Drums,44,289.0,0.25,80
Bass,41,290.0,1,71
Drums,36,290.0,0.333,66
Piano,57,290.0,1,80
Piano,60,290.0,1,70
Piano,65,290.0,1,64
Piano,72,290.0,1,75
Bass,36,291.0,0.666,64
Drums,44,291.0,0.25,74
Bar~73@292,Swing,4/4,A,140.0
Bass,34,292.0,1,78
Drums,36,292.0,0.333,68
Bass,38,293.0,1,80
Drums,44,293.0,0.25,63
Bass,34,294.0,1,69
Drums,36,294.0,0.333,61
Piano,53,294.0,0.666,73
Piano,58,294.0,0.666,64
Piano,62,294.0,0.666,80
Piano,65,294.0,0.666,70
Bass,29,295.0,0.750,75
Drums,44,295.0,0.25,66
Bar~74@296,Swing,4/4,A,140.0
Bass,28,296.0,0.750,64
Drums,36,296.0,0.333,72
Bass,35,297.0,1,80
Drums,44,297.0,0.25,64
Bass,28,298.0,0.5,62
Drums,36,298.0,0.333,79
Piano,52,298.0,1,80
Piano,55,298.0,1,60
Piano,59,298.0,1,65
Piano,64,298.0,1,70
Bass,35,299.0,1,62
Drums,44,299.0,0.25,72
Bar~75@300,Swing,4/4,A,140.0
Bass,33,300.0,1,69
Drums,36,300.0,0.333,74
Bass,44,301.0,1,70
Drums,44,301.0,0.25,60
Bass,45,302.0,1,63
Bass,49,303.0,1,63
Drums,44,303.0,0.25,62
Bar~76@304,Swing,4/4,A,140.0
Bass,38,304.0,1,72
Drums,36,304.0,0.25,73
Bass,33,305.0,1,75
Drums,44,305.0,0.25,77
Piano,50,305.0,1,62
Piano,54,305.0,1,73
Piano,57,305.0,1,61
Piano,62,305.0,1,80
Bass,38,306.0,0.666,77
Bass,33,307.0,1,67
Drums,44,307.0,0.25,75
Bar~77@308,Swing,4/4,A,140.0
Bass,38,308.0,1,76
Bass,38,309.0,1,62
Drums,44,309.0,0.25,61
Bass,38,310.0,1,75
Piano,50,310.0,0.666,65
Piano,54,310.0,0.666,60
Piano,57,310.0,0.666,62
Piano,62,310.0,0.666,71
Bass,38,311.0,0.750,76
Drums,44,311.0,0.25,64
Bar~78@312,Swing,4/4,A,140.0
Bass,38,312.0,0.5,66
Piano,50,312.0,1,68
Piano,53,312.0,1,68
Piano,57,312.0,1,75
Piano,62,312.0,1,80
Bass,33,313.0,0.750,74
Drums,44,313.0,0.25,66
Bass,38,314.0,1,63
Bass,33,315.0,1,72
Drums,44,315.0,0.25,76
Bar~79@316,Swing,4/4,A,140.0
Bass,31,316.0,1,77
Bass,30,317.0,1,60
Drums,44,317.0,0.25,65
Piano,50,317.0,0.666,61
Piano,55,317.0,0.666,74
Piano,59,317.0,0.666,68
Piano,67,317.0,0.666,80
Piano,74,317.0,0.666,65
Piano,79,317.0,0.666,71
Bass,31,318.0,0.5,72
Piano,50,318.0,1,67
Piano,55,318.0,1,73
Piano,59,318.0,1,60
Piano,62,318.0,1,67
Bass,38,319.0,0.5,63
Drums,36,319.0,0.25,78
Drums,44,319.0,0.25,70
Bar~80@320,Swing,4/4,A,140.0
Bass,36,320.0,1,77
Bass,36,321.0,1,66
Drums,44,321.0,0.25,67
Bass,36,322.0,1,73
Drums,44,322.0,0.333,66
Bass,40,323.0,0.666,76
Drums,36,323.0,0.333,66
Drums,44,323.0,0.25,75
Bar~81@324,Swing,4/4,A,140.0
Bass,48,324.0,1,71
Drums,44,324.0,0.333,75
Piano,48,324.0,1,73
Piano,52,324.0,1,75
Piano,55,324.0,1,76
Piano,60,324.0,1,65
Bass,43,325.0,1,72
Drums,44,325.0,0.333,60
Bass,36,326.0,1,74
Drums,44,326.0,0.333,66
Bass,43,327.0,0.5,68
Drums,44,327.0,0.333,74
Bar~82@328,Swing,4/4,A,140.0
Bass,35,328.0,0.750,74
Drums,44,328.0,0.333,65
Piano,50,328.0,0.750,63
Piano,59,328.0,0.750,70
Piano,65,328.0,0.750,69
Piano,71,328.0,0.750,67
Piano,77,328.0,0.750,69
Bass,29,329.0,1,67
Drums,44,329.0,0.333,74
Piano,50,329.0,0.750,77
Piano,59,329.0,0.750,80
Piano,65,329.0,0.750,79
Piano,71,329.0,0.750,60
Piano,77,329.0,0.750,71
Bass,29,330.0,1,79
Drums,44,330.0,0.333,60
Piano,50,330.0,0.750,63
Piano,59,330.0,0.750,80
Piano,65,330.0,0.750,74
Piano,71,330.0,0.750,75
Piano,77,330.0,0.750,66
Bass,35,331.0,1,73
Drums,44,331.0,0.333,63
Piano,50,331.0,0.750,73
Piano,59,331.0,0.750,71
Piano,65,331.0,0.750,65
Piano,71,331.0,0.750,60
Piano,77,331.0,0.750,70
Bar~83@332,Swing,4/4,A,140.0
Bass,35,332.0,1,78
Drums,44,332.0,0.333,74
Piano,47,332.0,0.666,67
Piano,52,332.0,0.666,77
Piano,56,332.0,0.666,78
Piano,64,332.0,0.666,61
Piano,71,332.0,0.666,60
Piano,76,332.0,0.666,68
Bass,32,333.0,1,66
Drums,44,333.0,0.25,76
Bass,28,334.0,1,70
Drums,44,334.0,0.333,80
Bass,32,335.0,0.666,64
Drums,44,335.0,0.333,77
Bar~84@336,Swing,4/4,A,140.0
Bass,36,336.0,1,77
Drums,36,336.0,0.333,70
Drums,44,336.0,0.333,77
Bass,40,337.0,1,73
Drums,44,337.0,0.333,74
Bass,45,338.0,0.666,60
Drums,44,338.0,0.333,77
Bass,40,339.0,1,64
Drums,44,339.0,0.333,61
Bar~85@340,Swing,4/4,A,140.0
Bass,33,340.0,1,65
Drums,44,340.0,0.333,64
Bass,40,341.0,1,66
Drums,44,341.0,0.333,67
Bass,33,342.0,1,79
Drums,44,342.0,0.333,78
Bass,40,343.0,0.750,61
Drums,44,343.0,0.333,62
Piano,48,343.0,1,64
Piano,52,343.0,1,64
Piano,57,343.0,1,75
Piano,64,343.0,1,67
Piano,69,343.0,1,64
Piano,76,343.0,1,61
Bar~86@344,Swing,4/4,A,140.0
Bass,31,344.0,0.5,67
Drums,44,344.0,0.333,65
Bass,34,345.0,0.750,71
Drums,44,345.0,0.25,67
Bass,31,346.0,1,80
Drums,44,346.0,0.333,72
Piano,55,346.0,0.333,72
Piano,58,346.0,0.333,77
Piano,62,346.0,0.333,74
Piano,67,346.0,0.333,76
Bass,38,347.0,1,80
Drums,44,347.0,0.333,65
Bar~87@348,Swing,4/4,A,140.0
Bass,43,348.0,1,73
Drums,44,348.0,0.333,68
Bass,37,349.0,1,73
Drums,44,349.0,0.333,72
Piano,60,349.0,0.333,64
Piano,64,349.0,0.333,80
Piano,67,349.0,0.333,67
Piano,72,349.0,0.333,60
Bass,36,350.0,0.5,60
Drums,44,350.0,0.25,60
Piano,55,350.0,1,61
Piano,60,350.0,1,76
Piano,64,350.0,1,80
Piano,67,350.0,1,79
Bass,43,351.0,0.5,80
Drums,36,351.0,0.25,77
Drums,44,351.0,0.25,78
Bar~88@352,Swing,4/4,A,140.0
Bass,29,352.0,1,60
Bass,33,353.0,1,60
Drums,44,353.0,0.25,68
Bass,29,354.0,1,72
Drums,44,354.0,0.25,75
Piano,53,354.0,1,62
Piano,57,354.0,1,60
Piano,60,354.0,1,76
Piano,65,354.0,1,63
Bass,33,355.0,0.666,67
Drums,44,355.0,0.25,60
Bar~89@356,Swing,4/4,A,140.0
Bass,34,356.0,1,68
Drums,44,356.0,0.25,69
Bass,34,357.0,1,65
Drums,44,357.0,0.25,79
Bass,34,358.0,1,69
Drums,44,358.0,0.25,67
Piano,53,358.0,0.666,65
Piano,58,358.0,0.666,69
Piano,62,358.0,0.666,69
Piano,70,358.0,0.666,78
Piano,77,358.0,0.666,70
Piano,82,358.0,0.666,77
Bass,38,359.0,0.5,70
Drums,44,359.0,0.25,65
Bar~90@360,Swing,4/4,A,140.0
Bass,40,360.0,0.750,68
Drums,44,360.0,0.25,66
Bass,35,361.0,1,66
Drums,44,361.0,0.25,75
Bass,40,362.0,1,76
Drums,44,362.0,0.25,68
Piano,55,362.0,1,78
Piano,59,362.0,1,67
Piano,64,362.0,1,61
Piano,71,362.0,1,67
Bass,43,363.0,1,66
Drums,44,363.0,0.25,80
Bar~91@364,Swing,4/4,A,140.0
Bass,39,364.0,1,71
Drums,44,364.0,0.25,74
Bass,33,365.0,1,66
Drums,44,365.0,0.25,62
Bass,32,366.0,1,73
Drums,44,366.0,0.25,75
Bass,36,367.0,0.666,71
Drums,44,367.0,0.25,72
Bar~92@368,Swing,4/4,A,140.0
Bass,38,368.0,1,70
Drums,36,368.0,0.25,79
Drums,44,368.0,0.25,71
Bass,38,369.0,1,78
Drums,44,369.0,0.25,78
Bass,38,370.0,1,63
Drums,44,370.0,0.25,80
Piano,50,370.0,1,70
Piano,53,370.0,1,60
Piano,57,370.0,1,70
Piano,62,370.0,1,63
Bass,41,371.0,1,79
Drums,44,371.0,0.25,76
Bar~93@372,Swing,4/4,A,140.0
Bass,31,372.0,1,68
Drums,44,372.0,0.25,60
Bass,38,373.0,1,61
Drums,44,373.0,0.25,71
Bass,43,374.0,1,79
Drums,44,374.0,0.25,76
Piano,50,374.0,0.666,66
Piano,55,374.0,0.666,61
Piano,59,374.0,0.666,67
Piano,62,374.0,0.666,68
Bass,47,375.0,1,68
Drums,44,375.0,0.25,66
Bar~94@376,Swing,4/4,A,140.0
Bass,36,376.0,1,64
Drums,44,376.0,0.25,67
Bass,36,377.0,1,74
Drums,44,377.0,0.25,79
Bass,36,378.0,1,68
Piano,48,378.0,1,72
Piano,52,378.0,1,60
Piano,55,378.0,1,66
Piano,60,378.0,1,67
Bass,32,379.0,1,72
Drums,44,379.0,0.25,70
Bar~95@380,Swing,4/4,A,140.0
Bass,31,380.0,1,68
Drums,44,380.0,0.25,78
Bass,35,381.0,1,68
Drums,44,381.0,0.25,80
Bass,36,382.0,0.5,63
Piano,48,382.0,1,80
Piano,52,382.0,1,64
Piano,55,382.0,1,72
Piano,60,382.0,1,75
Bass,36,383.0,0.5,77
Drums,44,383.0,0.25,64
Bar~96@384,Swing,4/4,A,140.0
Bass,36,384.0,1,72
Bass,31,385.0,1,71
Drums,44,385.0,0.25,68
Piano,52,385.0,1,75
Piano,55,385.0,1,74
Piano,60,385.0,1,77
Piano,67,385.0,1,61
Bass,36,386.0,1,66
Drums,44,386.0,0.25,74
Bass,40,387.0,0.666,64
Drums,44,387.0,0.25,63
Bar~97@388,Swing,4/4,A,140.0
Bass,36,388.0,1,67
Drums,44,388.0,0.25,68
Bass,35,389.0,1,62
Drums,44,389.0,0.25,65
Bass,36,390.0,1,79
Drums,44,390.0,0.25,78
Piano,52,390.0,0.666,64
Piano,55,390.0,0.666,74
Piano,60,390.0,0.666,70
Piano,67,390.0,0.666,61
Bass,35,391.0,0.750,78
Drums,44,391.0,0.25,73
Bar~98@392,Swing,4/4,A,140.0
Bass,35,392.0,0.750,69
Drums,44,392.0,0.25,72
Piano,50,392.0,1,78
Piano,59,392.0,1,72
Piano,65,392.0,1,69
Piano,71,392.0,1,71
Piano,77,392.0,1,78
Bass,40,393.0,1,72
Drums,44,393.0,0.25,64
Bass,41,394.0,0.5,71
Drums,44,394.0,0.25,80
Bass,47,395.0,1,72
Drums,44,395.0,0.25,63
Bar~99@396,Swing,4/4,A,140.0
Bass,40,396.0,1,66
Drums,44,396.0,0.25,68
Bass,40,397.0,1,62
Drums,44,397.0,0.25,77
Piano,47,397.0,0.666,75
Piano,52,397.0,0.666,66
Piano,56,397.0,0.666,66
Piano,64,397.0,0.666,73
Piano,71,397.0,0.666,80
Piano,76,397.0,0.666,75
Bass,40,398.0,1,66
Drums,44,398.0,0.25,78
Piano,56,398.0,0.666,79
Piano,64,398.0,0.666,61
Piano,71,398.0,0.666,74
Piano,76,398.0,0.666,60
Piano,83,398.0,0.666,65
Bass,44,399.0,1,79
Drums,44,399.0,0.25,65
Bar~100@400,Swing,4/4,A,140.0
Bass,33,400.0,0.666,79
Drums,44,400.0,0.333,79
Bass,28,401.0,1,80
Drums,44,401.0,0.333,79
Bass,33,402.0,1,76
Drums,44,402.0,0.333,64
Piano,48,402.0,1,63
Piano,52,402.0,1,73
Piano,57,402.0,1,64
Piano,64,402.0,1,77
Piano,69,402.0,1,70
Piano,76,402.0,1,78
Bass,28,403.0,1,63
Drums,44,403.0,0.333,61
Bar~101@404,Swing,4/4,A,140.0
Bass,33,404.0,1,74
Drums,44,404.0,0.333,62
Bass,28,405.0,1,65
Drums,44,405.0,0.25,71
Bass,33,406.0,1,71
Drums,44,406.0,0.333,70
Piano,60,406.0,0.666,67
Piano,64,406.0,0.666,80
Piano,69,406.0,0.666,72
Piano,76,406.0,0.666,80
Bass,31,407.0,1,68
Drums,44,407.0,0.333,65
Bar~102@408,Swing,4/4,A,140.0
Bass,31,408.0,1,69
Drums,44,408.0,0.333,61
Bass,34,409.0,0.666,76
Drums,44,409.0,0.333,76
Bass,43,410.0,1,71
Drums,44,410.0,0.333,80
Piano,58,410.0,1,71
Piano,62,410.0,1,80
Piano,67,410.0,1,79
Piano,74,410.0,1,68
Bass,38,411.0,1,74
Drums,44,411.0,0.333,68
Bar~103@412,Swing,4/4,A,140.0
Bass,36,412.0,1,70
Drums,44,412.0,0.333,77
Bass,31,413.0,1,74
Drums,44,413.0,0.333,70
Piano,60,413.0,1,75
Piano,64,413.0,1,66
Piano,67,413.0,1,69
Piano,72,413.0,1,74
Bass,36,414.0,0.5,60
Piano,55,414.0,1,61
Piano,60,414.0,1,79
Piano,64,414.0,1,66
Piano,72,414.0,1,72
Piano,79,414.0,1,68
Piano,84,414.0,1,66
Bass,31,415.0,0.5,72
Drums,44,415.0,0.25,68
Bar~104@416,Swing,4/4,A,140.0
Bass,29,416.0,1,78
Bass,36,417.0,0.750,69
Drums,44,417.0,0.25,60
Bass,29,418.0,0.666,80
Drums,36,418.0,0.333,74
Bass,33,419.0,1,79
Drums,44,419.0,0.25,78
Bar~105@420,Swing,4/4,A,140.0
Bass,34,420.0,1,61
Bass,38,421.0,1,79
Drums,36,421.0,0.333,71
Drums,44,421.0,0.25,79
Piano,53,421.0,0.333,74
Piano,58,421.0,0.333,65
Piano,62,421.0,0.333,68
Piano,65,421.0,0.333,78
Bass,34,422.0,1,65
Piano,53,422.0,1,64
Piano,58,422.0,1,61
Piano,62,422.0,1,66
Piano,65,422.0,1,76
Bass,29,423.0,0.750,76
Drums,44,423.0,0.25,60
Bar~106@424,Swing,4/4,A,140.0
Bass,28,424.0,0.5,77
Bass,35,425.0,1,69
Drums,44,425.0,0.25,62
Bass,31,426.0,1,77
Bass,28,427.0,1,73
Drums,36,427.0,0.333,76
Drums,44,427.0,0.25,74
Bar~107@428,Swing,4/4,A,140.0
Bass,37,428.0,1,77
Bass,44,429.0,1,75
Drums,44,429.0,0.25,80
Piano,52,429.0,0.333,78
Piano,57,429.0,0.333,70
Piano,61,429.0,0.333,61
Piano,69,429.0,0.333,75
Piano,76,429.0,0.333,62
Piano,81,429.0,0.333,64
Bass,45,430.0,1,65
Bass,49,431.0,1,64
Drums,44,431.0,0.25,61
Bar~108@432,Swing,4/4,A,140.0
Bass,50,432.0,1,62
Bass,57,433.0,1,76
Drums,44,433.0,0.25,80
Bass,38,434.0,1,78
Drums,36,434.0,0.333,63
Bass,33,435.0,0.666,71
Drums,44,435.0,0.25,72
Bar~109@436,Swing,4/4,A,140.0
Bass,38,436.0,1,62
Bass,37,437.0,1,63
Drums,44,437.0,0.25,78
Bass,38,438.0,1,76
Bass,33,439.0,0.5,66
Drums,44,439.0,0.25,79
Piano,54,439.0,1,77
Piano,57,439.0,1,80
Piano,62,439.0,1,76
Piano,69,439.0,1,69
Bar~110@440,Swing,4/4,A,140.0
Bass,38,440.0,0.750,67
Bass,37,441.0,1,70
Drums,44,441.0,0.25,63
Bass,38,442.0,1,68
Piano,53,442.0,0.333,72
Piano,57,442.0,0.333,61
Piano,62,442.0,0.333,74
Piano,69,442.0,0.333,68
Bass,33,443.0,1,70
Drums,44,443.0,0.25,62
Bar~111@444,Swing,4/4,A,140.0
Bass,31,444.0,1,80
Bass,38,445.0,1,69
Drums,44,445.0,0.25,61
Piano,55,445.0,0.333,80
Piano,59,445.0,0.333,67
Piano,62,445.0,0.333,75
Piano,67,445.0,0.333,60
Bass,43,446.0,0.5,73
Piano,59,446.0,1,65
Piano,62,446.0,1,69
Piano,67,446.0,1,68
Piano,74,446.0,1,70
Bass,50,447.0,0.5,74
Drums,36,447.0,0.25,71
Drums,44,447.0,0.25,70
Bar~112@448,Swing,4/4,A,140.0
Bass,36,448.0,1,77
Bass,31,449.0,1,80
Drums,44,449.0,0.25,67
Bass,36,450.0,0.666,76
Drums,44,450.0,0.25,80
Bass,31,451.0,1,63
Drums,44,451.0,0.25,65
Bar~113@452,Swing,4/4,A,140.0
Bass,28,452.0,1,70
Drums,36,452.0,0.25,70
Drums,44,452.0,0.25,67
Piano,52,452.0,1,71
Piano,55,452.0,1,61
Piano,60,452.0,1,69
Piano,67,452.0,1,74
Bass,31,453.0,1,62
Drums,44,453.0,0.25,69
Bass,36,454.0,1,75
Drums,44,454.0,0.25,63
Bass,31,455.0,0.750,74
Drums,44,455.0,0.25,79
Bar~114@456,Swing,4/4,A,140.0
Bass,35,456.0,0.5,70
Drums,40,456.0,0.25,61
Piano,50,456.0,0.750,67
Piano,59,456.0,0.750,62
Piano,65,456.0,0.750,77
Piano,71,456.0,0.750,74
Piano,77,456.0,0.750,72
Bass,38,457.0,0.750,74
Drums,44,457.0,0.25,71
Piano,50,457.0,0.750,73
Piano,59,457.0,0.750,67
Piano,65,457.0,0.750,70
Piano,71,457.0,0.750,74
Piano,77,457.0,0.750,78
Bass,38,458.0,1,72
Drums,44,458.0,0.25,71
Piano,50,458.0,0.750,67
Piano,59,458.0,0.750,64
Piano,65,458.0,0.750,65
Piano,71,458.0,0.750,63
Piano,77,458.0,0.750,77
Bass,29,459.0,1,66
Drums,44,459.0,0.25,62
Piano,50,459.0,0.750,78
Piano,59,459.0,0.750,63
Piano,65,459.0,0.750,75
Piano,71,459.0,0.750,68
Piano,77,459.0,0.750,75
Bar~115@460,Swing,4/4,A,140.0
Bass,28,460.0,1,64
Drums,44,460.0,0.25,62
Piano,47,460.0,0.666,73
Piano,52,460.0,0.666,62
Piano,56,460.0,0.666,65
Piano,64,460.0,0.666,77
Piano,71,460.0,0.666,73
Piano,76,460.0,0.666,78
Bass,35,461.0,1,75
Drums,44,461.0,0.25,73
Bass,28,462.0,1,65
Drums,44,462.0,0.25,64
Bass,32,463.0,1,66
Drums,44,463.0,0.25,61
Bar~116@464,Swing,4/4,A,140.0
Bass,33,464.0,0.666,64
Drums,36,464.0,0.25,75
Drums,44,464.0,0.25,79
Bass,44,465.0,1,66
Drums,44,465.0,0.25,72
Bass,45,466.0,1,72
Drums,44,466.0,0.25,61
Bass,48,467.0,1,79
Drums,44,467.0,0.25,62
Bar~117@468,Swing,4/4,A,140.0
Bass,45,468.0,1,75
Drums,44,468.0,0.25,74
Bass,52,469.0,1,69
Drums,44,469.0,0.25,78
Bass,45,470.0,1,74
Drums,44,470.0,0.25,72
Bass,40,471.0,1,72
Drums,44,471.0,0.25,62
Piano,48,471.0,1,65
Piano,52,471.0,1,67
Piano,57,471.0,1,78
Piano,64,471.0,1,60
Piano,69,471.0,1,73
Piano,76,471.0,1,66
Bar~118@472,Swing,4/4,A,140.0
Bass,31,472.0,1,77
Drums,44,472.0,0.25,65
Bass,38,473.0,0.666,78
Drums,44,473.0,0.25,60
Bass,31,474.0,1,62
Piano,55,474.0,0.333,73
Piano,58,474.0,0.333,79
Piano,62,474.0,0.333,73
Piano,67,474.0,0.333,66
Bass,38,475.0,1,61
Drums,44,475.0,0.25,69
Bar~119@476,Swing,4/4,A,140.0
Bass,36,476.0,1,78
Drums,44,476.0,0.25,79
Bass,36,477.0,1,74
Drums,44,477.0,0.25,67
Piano,52,477.0,0.333,73
Piano,55,477.0,0.333,69
Piano,60,477.0,0.333,79
Piano,67,477.0,0.333,78
Bass,36,478.0,0.5,64
Drums,44,478.0,0.25,69
Piano,52,478.0,1,65
Piano,55,478.0,1,73
Piano,60,478.0,1,74
Piano,67,478.0,1,77
Bass,31,479.0,0.5,64
Drums,44,479.0,0.25,77
Bar~120@480,Swing,4/4,A,140.0
Bass,29,480.0,1,65
Bass,33,481.0,1,71
Drums,44,481.0,0.333,71
Bass,41,482.0,0.666,74
Drums,44,482.0,0.333,70
Bass,30,483.0,1,72
Drums,44,483.0,0.333,67
Bar~121@484,Swing,4/4,A,140.0
Bass,29,484.0,1,76
Drums,44,484.0,0.333,72
Piano,46,484.0,0.666,77
Piano,50,484.0,0.666,78
Piano,53,484.0,0.666,72
Piano,58,484.0,0.666,64
Bass,34,485.0,1,77
Drums,44,485.0,0.333,67
Bass,34,486.0,1,69
Drums,44,486.0,0.333,65
Bass,29,487.0,0.750,74
Drums,44,487.0,0.25,61
Bar~122@488,Swing,4/4,A,140.0
Bass,28,488.0,0.5,64
Drums,44,488.0,0.333,74
Bass,35,489.0,0.750,71
Drums,44,489.0,0.333,61
Bass,28,490.0,1,78
Drums,44,490.0,0.333,61
Bass,31,491.0,1,63
Drums,44,491.0,0.333,77
Bar~123@492,Swing,4/4,A,140.0
Bass,42,492.0,1,73
Drums,36,492.0,0.333,71
Drums,44,492.0,0.333,61
Piano,51,492.0,0.666,64
Piano,54,492.0,0.666,63
Piano,58,492.0,0.666,72
Piano,63,492.0,0.666,66
Bass,39,493.0,1,64
Drums,44,493.0,0.333,70
Bass,32,494.0,1,69
Drums,44,494.0,0.333,69
Bass,36,495.0,1,64
Drums,44,495.0,0.333,60
Piano,51,495.0,0.666,80
Piano,56,495.0,0.666,78
Piano,60,495.0,0.666,75
Piano,68,495.0,0.666,67
Piano,75,495.0,0.666,65
Piano,80,495.0,0.666,65
Bar~124@496,Swing,4/4,A,140.0
Bass,38,496.0,1,76
Drums,44,496.0,0.25,62
Piano,50,496.0,1,65
Piano,53,496.0,1,69
Piano,57,496.0,1,69
Piano,62,496.0,1,60
Bass,33,497.0,1,66
Drums,44,497.0,0.25,60
Bass,29,498.0,1,72
Drums,44,498.0,0.25,71
Bass,31,499.0,0.666,65
Drums,44,499.0,0.25,80
Bar~125@500,Swing,4/4,A,140.0
Bass,31,500.0,1,71
Drums,44,500.0,0.25,60
Piano,50,500.0,0.666,64
Piano,55,500.0,0.666,67
Piano,59,500.0,0.666,79
Piano,62,500.0,0.666,70
Bass,38,501.0,1,60
Drums,36,501.0,0.25,70
Drums,44,501.0,0.25,61
Bass,43,502.0,1,69
Drums,44,502.0,0.25,67
Piano,55,502.0,0.666,66
Piano,59,502.0,0.666,66
Piano,62,502.0,0.666,76
Piano,67,502.0,0.666,75
Bass,38,503.0,0.5,75
Drums,44,503.0,0.25,75
