kern2csv4playerString:  Bar~0@0, B, 4/4, A, 140
Drums, 36, 48.0, 1, 60
Drums, 44, 48.0, 1, 78
Drums, 44, 49.0, 1, 77
Bass, 28, 50.0, 1, 73
Drums, 36, 50.0, 1, 77
Drums, 44, 50.0, 1, 76
Piano, 52, 50.0, 1, 67
Piano, 55, 50.0, 1, 67
Piano, 59, 50.0, 1, 65
Piano, 64, 50.0, 1, 77
Drums, 44, 51.0, 1, 77
Bar~13@52, B, 4/4, A, 140
Bass, 35, 52.0, 1, 63
Drums, 36, 52.0, 1, 67
Drums, 44, 52.0, 1, 70
Piano, 51, 52.0, 1, 77
Piano, 54, 52.0, 1, 62
Piano, 59, 52.0, 1, 66
Piano, 66, 52.0, 1, 73
Drums, 44, 53.0, 1, 67
Piano, 51, 53.0, 1, 62
Piano, 54, 53.0, 1, 76
Piano, 59, 53.0, 1, 73
Piano, 66, 53.0, 1, 71
Bass, 39, 54.0, 1, 61
Drums, 36, 54.0, 1, 60
Drums, 44, 54.0, 1, 61
Drums, 44, 55.0, 1, 65
Bar~14@56, B, 4/4, A, 140
Bass, 28, 56.0, 1, 74
Drums, 36, 56.0, 1, 71
Drums, 44, 56.0, 1, 73
Drums, 44, 57.0, 1, 65
Bass, 33, 58.0, 1, 80
Drums, 36, 58.0, 1, 75
Drums, 44, 58.0, 1, 79
Drums, 44, 59.0, 1, 79
Bar~15@60, B, 4/4, A, 140
Bass, 38, 60.0, 1, 63
Drums, 36, 60.0, 1, 76
Drums, 44, 60.0, 1, 76
Drums, 44, 61.0, 1, 69
Bass, 31, 62.0, 1, 62
Piano, 55, 62.0, 1, 71
Piano, 59, 62.0, 1, 68
Piano, 62, 62.0, 1, 64
Piano, 67, 62.0, 1, 67
Bass, 35, 63.0, 1, 76
Drums, 36, 63.0, 1, 70
Drums, 44, 63.0, 1, 61
Bar~16@64, B, 4/4, A, 140
Bass, 36, 64.0, 1, 63
Drums, 44, 65.0, 1, 61
Bass, 36, 66.0, 1, 62
Drums, 36, 66.0, 1, 80
Piano, 52, 66.0, 1, 74
Piano, 55, 66.0, 1, 63
Piano, 60, 66.0, 1, 61
Piano, 67, 66.0, 1, 62
Drums, 44, 67.0, 1, 76
Bar~17@68, B, 4/4, A, 140
Bass, 36, 68.0, 1, 72
Drums, 36, 68.0, 1, 78
Piano, 52, 68.0, 1, 62
Piano, 55, 68.0, 1, 67
Piano, 60, 68.0, 1, 70
Piano, 67, 68.0, 1, 61
Drums, 44, 69.0, 1, 70
Piano, 55, 69.0, 1, 76
Piano, 60, 69.0, 1, 62
Piano, 64, 69.0, 1, 66
Piano, 72, 69.0, 1, 63
Piano, 79, 69.0, 1, 79
Piano, 84, 69.0, 1, 78
Bass, 36, 70.0, 1, 78
Drums, 36, 70.0, 1, 66
Drums, 44, 71.0, 1, 64
Bar~18@72, B, 4/4, A, 140
Bass, 35, 72.0, 1, 70
Drums, 36, 72.0, 1, 73
Drums, 44, 73.0, 1, 75
Bass, 35, 74.0, 1, 68
Drums, 36, 74.0, 1, 70
Piano, 50, 74.0, 1, 69
Piano, 59, 74.0, 1, 80
Piano, 65, 74.0, 1, 74
Piano, 71, 74.0, 1, 62
Piano, 77, 74.0, 1, 75
Drums, 44, 75.0, 1, 76
Bar~19@76, B, 4/4, A, 140
Bass, 28, 76.0, 1, 71
Drums, 36, 76.0, 1, 78
Piano, 47, 76.0, 1, 76
Piano, 52, 76.0, 1, 73
Piano, 56, 76.0, 1, 62
Piano, 64, 76.0, 1, 73
Piano, 71, 76.0, 1, 64
Piano, 76, 76.0, 1, 67
Drums, 44, 77.0, 1, 60
Piano, 56, 77.0, 1, 68
Piano, 64, 77.0, 1, 71
Piano, 71, 77.0, 1, 80
Piano, 76, 77.0, 1, 78
Piano, 83, 77.0, 1, 64
Bass, 28, 78.0, 1, 76
Drums, 36, 78.0, 1, 71
Drums, 44, 79.0, 1, 64
Bar~20@80, B, 4/4, A, 140
Bass, 45, 80.0, 1, 64
Drums, 36, 80.0, 1, 67
Drums, 44, 81.0, 1, 72
Bass, 45, 82.0, 1, 60
Drums, 36, 82.0, 1, 73
Piano, 48, 82.0, 1, 60
Piano, 52, 82.0, 1, 70
Piano, 57, 82.0, 1, 71
Piano, 64, 82.0, 1, 79
Piano, 69, 82.0, 1, 67
Piano, 76, 82.0, 1, 61
Drums, 44, 83.0, 1, 67
Piano, 60, 83.0, 1, 64
Piano, 64, 83.0, 1, 74
Piano, 69, 83.0, 1, 61
