kern2csv4playerString:  Bar~0@0, B, 4/4, A, 140
Drums, 44, 231.0, 1, 69
Bar~58@232, B, 4/4, A, 140
Bass, 36, 232.0, 1, 74
Drums, 36, 232.0, 1, 69
Drums, 44, 232.0, 1, 73
Piano, 52, 232.0, 1, 74
Piano, 55, 232.0, 1, 77
Piano, 60, 232.0, 1, 76
Piano, 67, 232.0, 1, 66
Drums, 44, 233.0, 1, 76
Piano, 52, 233.0, 1, 66
Piano, 55, 233.0, 1, 74
Piano, 60, 233.0, 1, 67
Piano, 67, 233.0, 1, 80
Bass, 36, 234.0, 1, 70
Drums, 36, 234.0, 1, 66
Drums, 44, 234.0, 1, 67
Drums, 44, 235.0, 1, 70
Bar~59@236, B, 4/4, A, 140
Bass, 36, 236.0, 1, 70
Drums, 36, 236.0, 1, 66
Drums, 44, 236.0, 1, 77
Drums, 44, 237.0, 1, 60
Bass, 36, 238.0, 1, 68
Drums, 36, 238.0, 1, 69
Drums, 44, 238.0, 1, 72
Drums, 44, 239.0, 1, 74
Bar~60@240, B, 4/4, A, 140
Bass, 40, 240.0, 1, 64
Drums, 36, 240.0, 1, 79
Drums, 44, 240.0, 1, 73
Drums, 44, 241.0, 1, 73
Bass, 28, 242.0, 1, 71
Drums, 36, 242.0, 1, 70
Drums, 44, 242.0, 1, 60
Drums, 44, 243.0, 1, 61
Bar~61@244, B, 4/4, A, 140
Bass, 35, 244.0, 1, 61
Drums, 36, 244.0, 1, 70
Drums, 44, 244.0, 1, 62
Drums, 44, 245.0, 1, 66
Bass, 30, 246.0, 1, 74
Drums, 36, 246.0, 1, 75
Drums, 44, 246.0, 1, 60
Drums, 44, 247.0, 1, 71
Bar~62@248, B, 4/4, A, 140
Bass, 28, 248.0, 1, 79
Drums, 36, 248.0, 1, 61
Drums, 44, 248.0, 1, 70
Drums, 44, 249.0, 1, 80
Piano, 55, 249.0, 1, 68
Piano, 59, 249.0, 1, 74
Piano, 64, 249.0, 1, 74
Piano, 71, 249.0, 1, 63
Piano, 76, 249.0, 1, 77
Piano, 83, 249.0, 1, 80
Bass, 45, 250.0, 1, 75
Drums, 36, 250.0, 1, 61
Drums, 44, 250.0, 1, 62
Piano, 52, 250.0, 1, 60
Piano, 57, 250.0, 1, 67
Piano, 61, 250.0, 1, 69
Piano, 69, 250.0, 1, 74
Piano, 76, 250.0, 1, 61
Piano, 81, 250.0, 1, 62
Bass, 49, 251.0, 1, 76
Drums, 44, 251.0, 1, 79
Bar~63@252, B, 4/4, A, 140
Bass, 38, 252.0, 1, 78
Drums, 36, 252.0, 1, 61
Drums, 44, 252.0, 1, 75
Drums, 44, 253.0, 1, 79
Bass, 31, 254.0, 1, 65
Piano, 50, 254.0, 1, 78
Piano, 55, 254.0, 1, 71
Piano, 59, 254.0, 1, 71
Piano, 67, 254.0, 1, 71
Piano, 74, 254.0, 1, 80
Piano, 79, 254.0, 1, 62
Bass, 35, 255.0, 1, 69
Drums, 44, 255.0, 1, 72
Bar~64@256, B, 4/4, A, 140
Bass, 33, 256.0, 1, 80
Drums, 44, 257.0, 1, 66
Bass, 33, 258.0, 1, 63
Drums, 36, 258.0, 1, 77
Drums, 44, 258.0, 1, 62
Drums, 44, 259.0, 1, 66
Bar~65@260, B, 4/4, A, 140
Bass, 45, 260.0, 1, 76
Drums, 36, 260.0, 1, 77
Drums, 44, 260.0, 1, 61
Drums, 44, 261.0, 1, 73
Bass, 48, 262.0, 1, 61
Drums, 36, 262.0, 1, 65
Drums, 44, 262.0, 1, 64
Drums, 44, 263.0, 1, 71
Bar~66@264, B, 4/4, A, 140
Bass, 36, 264.0, 1, 75
Drums, 36, 264.0, 1, 79
Drums, 44, 264.0, 1, 76
Drums, 44, 265.0, 1, 76
Bass, 36, 266.0, 1, 60
Drums, 36, 266.0, 1, 72
Drums, 44, 266.0, 1, 60
Piano, 60, 266.0, 1, 69
Piano, 64, 266.0, 1, 71
Piano, 67, 266.0, 1, 66
Piano, 72, 266.0, 1, 64
Bass, 43, 267.0, 1, 72
Drums, 44, 267.0, 1, 78
Bar~67@268, B, 4/4, A, 140
Bass, 36, 268.0, 1, 64
Drums, 36, 268.0, 1, 74
Drums, 44, 268.0, 1, 61
Piano, 48, 268.0, 1, 68
Piano, 52, 268.0, 1, 75
Piano, 55, 268.0, 1, 63
Piano, 60, 268.0, 1, 72
Drums, 44, 269.0, 1, 70
Piano, 55, 269.0, 1, 61
Piano, 60, 269.0, 1, 68
Piano, 64, 269.0, 1, 63
Piano, 67, 269.0, 1, 64
Bass, 36, 270.0, 1, 64
Drums, 36, 270.0, 1, 69
Drums, 44, 270.0, 1, 64
Drums, 44, 271.0, 1, 72
Bar~68@272, B, 4/4, A, 140
Bass, 28, 272.0, 1, 71
Drums, 36, 272.0, 1, 70
Drums, 44, 272.0, 1, 77
Drums, 44, 273.0, 1, 66
Bass, 28, 274.0, 1, 66
Drums, 36, 274.0, 1, 79
Drums, 44, 274.0, 1, 62
Piano, 55, 274.0, 1, 65
Piano, 59, 274.0, 1, 64
Piano, 64, 274.0, 1, 69
Piano, 71, 274.0, 1, 62
Drums, 44, 275.0, 1, 67
Bar~69@276, B, 4/4, A, 140
Bass, 42, 276.0, 1, 74
Drums, 36, 276.0, 1, 68
Drums, 44, 276.0, 1, 67
Piano, 51, 276.0, 1, 64
Piano, 54, 276.0, 1, 80
Piano, 59, 276.0, 1, 77
Piano, 66, 276.0, 1, 80
Drums, 44, 277.0, 1, 62
Piano, 51, 277.0, 1, 71
Piano, 54, 277.0, 1, 71
Piano, 59, 277.0, 1, 65
Piano, 66, 277.0, 1, 64
Bass, 35, 278.0, 1, 69
Drums, 36, 278.0, 1, 79
Drums, 44, 278.0, 1, 60
Drums, 44, 279.0, 1, 80
Bar~70@280, B, 4/4, A, 140
Bass, 28, 280.0, 1, 79
Drums, 36, 280.0, 1, 61
Drums, 44, 280.0, 1, 60
Drums, 44, 281.0, 1, 72
Bass, 33, 282.0, 1, 69
Drums, 36, 282.0, 1, 73
Drums, 44, 282.0, 1, 79
Piano, 52, 282.0, 1, 65
Piano, 57, 282.0, 1, 67
Piano, 61, 282.0, 1, 71
Piano, 69, 282.0, 1, 73
Piano, 76, 282.0, 1, 65
Piano, 81, 282.0, 1, 74
Drums, 44, 283.0, 1, 78
Piano, 57, 283.0, 1, 62
Piano, 61, 283.0, 1, 71
Piano, 64, 283.0, 1, 76
Piano, 69, 283.0, 1, 71
Bar~71@284, B, 4/4, A, 140
Bass, 38, 284.0, 1, 72
Drums, 36, 284.0, 1, 63
Drums, 44, 284.0, 1, 60
Piano, 53, 284.0, 1, 80
Piano, 57, 284.0, 1, 67
Piano, 62, 284.0, 1, 77
Piano, 69, 284.0, 1, 79
Piano, 74, 284.0, 1, 74
Piano, 81, 284.0, 1, 69
Drums, 44, 285.0, 1, 69
Piano, 53, 285.0, 1, 79
Piano, 57, 285.0, 1, 72
Piano, 62, 285.0, 1, 63
Piano, 69, 285.0, 1, 60
Piano, 74, 285.0, 1, 64
Piano, 81, 285.0, 1, 72
Bass, 43, 286.0, 1, 78
Piano, 50, 286.0, 1, 75
Piano, 55, 286.0, 1, 60
Piano, 59, 286.0, 1, 71
Piano, 67, 286.0, 1, 62
Piano, 74, 286.0, 1, 61
Piano, 79, 286.0, 1, 68
Bass, 38, 287.0, 1, 80
Drums, 44, 287.0, 1, 79
Bar~72@288, B, 4/4, A, 140
Bass, 36, 288.0, 1, 79
Drums, 44, 289.0, 1, 71
Bass, 36, 290.0, 1, 71
Drums, 36, 290.0, 1, 71
Drums, 44, 291.0, 1, 67
Bar~73@292, B, 4/4, A, 140
Bass, 31, 292.0, 1, 73
Drums, 36, 292.0, 1, 63
Drums, 44, 293.0, 1, 69
Bass, 36, 294.0, 1, 71
Drums, 36, 294.0, 1, 70
Drums, 44, 295.0, 1, 71
Bar~74@296, B, 4/4, A, 140
Bass, 35, 296.0, 1, 76
Drums, 36, 296.0, 1, 71
Drums, 44, 297.0, 1, 76
Piano, 50, 297.0, 1, 73
Piano, 59, 297.0, 1, 69
Piano, 65, 297.0, 1, 61
Piano, 71, 297.0, 1, 75
Piano, 77, 297.0, 1, 62
Bass, 47, 298.0, 1, 66
Drums, 36, 298.0, 1, 63
Piano, 50, 298.0, 1, 64
Piano, 59, 298.0, 1, 70
Piano, 65, 298.0, 1, 68
Piano, 71, 298.0, 1, 79
Piano, 77, 298.0, 1, 66
Bass, 53, 299.0, 1, 72
Drums, 44, 299.0, 1, 78
Bar~75@300, B, 4/4, A, 140
Bass, 40, 300.0, 1, 74
Drums, 36, 300.0, 1, 73
Drums, 44, 301.0, 1, 65
Bass, 35, 302.0, 1, 69
Drums, 36, 302.0, 1, 76
Drums, 44, 303.0, 1, 76
Bar~76@304, B, 4/4, A, 140
Bass, 33, 304.0, 1, 68
Drums, 36, 304.0, 1, 66
Drums, 44, 305.0, 1, 78
Bass, 36, 306.0, 1, 69
Drums, 36, 306.0, 1, 65
Bass, 33, 307.0, 1, 60
Drums, 44, 307.0, 1, 68
Bar~77@308, B, 4/4, A, 140
Bass, 33, 308.0, 1, 60
Drums, 36, 308.0, 1, 67
Drums, 44, 309.0, 1, 62
Bass, 33, 310.0, 1, 66
Drums, 36, 310.0, 1, 65
Drums, 44, 311.0, 1, 66
Bar~78@312, B, 4/4, A, 140
Bass, 43, 312.0, 1, 65
Drums, 36, 312.0, 1, 70
Drums, 44, 313.0, 1, 76
Piano, 58, 313.0, 1, 61
Piano, 62, 313.0, 1, 63
Piano, 67, 313.0, 1, 70
Piano, 74, 313.0, 1, 60
Bass, 31, 314.0, 1, 68
Drums, 36, 314.0, 1, 73
Piano, 58, 314.0, 1, 64
Piano, 62, 314.0, 1, 72
Piano, 67, 314.0, 1, 68
Piano, 74, 314.0, 1, 70
Drums, 44, 315.0, 1, 66
Bar~79@316, B, 4/4, A, 140
Bass, 36, 316.0, 1, 69
Drums, 36, 316.0, 1, 66
Drums, 44, 317.0, 1, 79
Bass, 36, 318.0, 1, 78
Drums, 36, 318.0, 1, 62
Drums, 44, 319.0, 1, 62
Bar~80@320, B, 4/4, A, 140
Bass, 29, 320.0, 1, 61
Drums, 36, 320.0, 1, 72
Drums, 44, 321.0, 1, 62
Piano, 53, 321.0, 1, 79
Piano, 57, 321.0, 1, 61
Piano, 60, 321.0, 1, 66
Piano, 65, 321.0, 1, 78
Bass, 41, 322.0, 1, 71
Drums, 36, 322.0, 1, 76
Piano, 53, 322.0, 1, 74
Piano, 57, 322.0, 1, 79
Piano, 60, 322.0, 1, 63
Piano, 65, 322.0, 1, 80
Drums, 44, 323.0, 1, 73
Bar~81@324, B, 4/4, A, 140
Bass, 38, 324.0, 1, 78
Drums, 36, 324.0, 1, 65
Drums, 44, 325.0, 1, 77
Bass, 38, 326.0, 1, 80
Drums, 36, 326.0, 1, 73
Drums, 44, 327.0, 1, 73
Bar~82@328, B, 4/4, A, 140
Bass, 33, 328.0, 1, 76
Drums, 36, 328.0, 1, 68
Drums, 44, 329.0, 1, 75
Piano, 60, 329.0, 1, 77
Piano, 64, 329.0, 1, 68
Piano, 69, 329.0, 1, 77
Piano, 76, 329.0, 1, 65
Bass, 33, 330.0, 1, 71
Drums, 36, 330.0, 1, 78
Piano, 60, 330.0, 1, 80
Piano, 64, 330.0, 1, 76
Piano, 69, 330.0, 1, 64
Piano, 76, 330.0, 1, 65
Drums, 44, 331.0, 1, 80
Bar~83@332, B, 4/4, A, 140
Bass, 38, 332.0, 1, 75
Drums, 36, 332.0, 1, 70
Drums, 44, 333.0, 1, 68
Bass, 50, 334.0, 1, 60
Drums, 36, 334.0, 1, 75
Drums, 44, 335.0, 1, 64
Bar~84@336, B, 4/4, A, 140
Bass, 45, 336.0, 1, 79
Drums, 36, 336.0, 1, 78
Drums, 44, 337.0, 1, 72
Bass, 36, 338.0, 1, 77
Drums, 36, 338.0, 1, 76
Piano, 57, 338.0, 1, 72
Piano, 60, 338.0, 1, 71
Piano, 64, 338.0, 1, 74
Piano, 69, 338.0, 1, 70
Drums, 44, 339.0, 1, 65
Bar~85@340, B, 4/4, A, 140
Bass, 29, 340.0, 1, 68
Drums, 36, 340.0, 1, 71
Piano, 50, 340.0, 1, 69
Piano, 59, 340.0, 1, 68
Piano, 65, 340.0, 1, 75
Piano, 71, 340.0, 1, 65
Piano, 77, 340.0, 1, 76
Drums, 44, 341.0, 1, 71
Bass, 28, 342.0, 1, 66
Drums, 36, 342.0, 1, 74
Drums, 44, 343.0, 1, 63
Bar~86@344, B, 4/4, A, 140
Bass, 33, 344.0, 1, 70
Drums, 36, 344.0, 1, 79
Drums, 44, 345.0, 1, 60
Bass, 36, 346.0, 1, 72
Drums, 36, 346.0, 1, 72
Drums, 44, 347.0, 1, 67
Bar~87@348, B, 4/4, A, 140
Bass, 43, 348.0, 1, 72
Drums, 36, 348.0, 1, 69
Drums, 44, 349.0, 1, 79
Bass, 31, 350.0, 1, 67
Piano, 50, 350.0, 1, 68
Piano, 55, 350.0, 1, 79
Piano, 59, 350.0, 1, 62
Piano, 67, 350.0, 1, 79
Piano, 74, 350.0, 1, 72
Piano, 79, 350.0, 1, 64
Bass, 35, 351.0, 1, 72
Drums, 44, 351.0, 1, 78
Bar~88@352, B, 4/4, A, 140
Bass, 36, 352.0, 1, 62
Drums, 44, 353.0, 1, 67
Bass, 31, 354.0, 1, 67
Drums, 36, 354.0, 1, 75
Drums, 44, 354.0, 1, 71
Piano, 48, 354.0, 1, 61
Piano, 52, 354.0, 1, 68
Piano, 55, 354.0, 1, 61
Piano, 60, 354.0, 1, 60
Drums, 44, 355.0, 1, 73
Piano, 48, 355.0, 1, 64
Piano, 52, 355.0, 1, 71
Piano, 55, 355.0, 1, 65
Piano, 60, 355.0, 1, 79
Bar~89@356, B, 4/4, A, 140
Bass, 29, 356.0, 1, 75
Drums, 36, 356.0, 1, 60
Drums, 44, 356.0, 1, 61
Piano, 57, 356.0, 1, 61
Piano, 60, 356.0, 1, 61
Piano, 65, 356.0, 1, 79
Piano, 72, 356.0, 1, 60
Drums, 44, 357.0, 1, 66
Piano, 57, 357.0, 1, 74
Piano, 60, 357.0, 1, 77
Piano, 65, 357.0, 1, 60
Piano, 72, 357.0, 1, 61
Bass, 41, 358.0, 1, 61
Drums, 36, 358.0, 1, 70
Drums, 44, 358.0, 1, 60
Drums, 44, 359.0, 1, 80
Bar~90@360, B, 4/4, A, 140
Bass, 36, 360.0, 1, 63
Drums, 36, 360.0, 1, 66
Drums, 44, 360.0, 1, 65
Drums, 44, 361.0, 1, 80
Bass, 36, 362.0, 1, 71
Drums, 36, 362.0, 1, 75
Drums, 44, 362.0, 1, 65
Drums, 44, 363.0, 1, 77
Bar~91@364, B, 4/4, A, 140
Bass, 36, 364.0, 1, 68
Drums, 36, 364.0, 1, 74
Drums, 44, 364.0, 1, 76
Drums, 44, 365.0, 1, 72
Bass, 36, 366.0, 1, 77
Drums, 36, 366.0, 1, 70
Drums, 44, 366.0, 1, 60
Drums, 44, 367.0, 1, 73
Bar~92@368, B, 4/4, A, 140
Bass, 43, 368.0, 1, 71
Drums, 36, 368.0, 1, 64
Drums, 44, 368.0, 1, 63
Piano, 55, 368.0, 1, 74
Piano, 58, 368.0, 1, 71
Piano, 62, 368.0, 1, 77
Piano, 67, 368.0, 1, 77
Drums, 44, 369.0, 1, 77
Bass, 46, 370.0, 1, 66
Drums, 36, 370.0, 1, 63
Drums, 44, 370.0, 1, 72
Piano, 55, 370.0, 1, 61
Piano, 58, 370.0, 1, 75
Piano, 62, 370.0, 1, 64
Piano, 67, 370.0, 1, 72
Bass, 43, 371.0, 1, 76
Drums, 44, 371.0, 1, 61
Bar~93@372, B, 4/4, A, 140
Bass, 36, 372.0, 1, 65
Drums, 36, 372.0, 1, 74
Drums, 44, 372.0, 1, 71
Piano, 60, 372.0, 1, 80
Piano, 64, 372.0, 1, 62
Piano, 67, 372.0, 1, 68
Piano, 72, 372.0, 1, 73
Drums, 44, 373.0, 1, 76
Piano, 60, 373.0, 1, 75
Piano, 64, 373.0, 1, 61
Piano, 67, 373.0, 1, 65
Piano, 72, 373.0, 1, 61
Bass, 36, 374.0, 1, 66
Drums, 36, 374.0, 1, 77
Drums, 44, 374.0, 1, 68
Drums, 44, 375.0, 1, 73
Bar~94@376, B, 4/4, A, 140
Bass, 29, 376.0, 1, 74
Drums, 36, 376.0, 1, 63
Drums, 44, 376.0, 1, 61
Drums, 44, 377.0, 1, 70
Bass, 29, 378.0, 1, 75
Drums, 36, 378.0, 1, 78
Drums, 44, 378.0, 1, 71
Piano, 53, 378.0, 1, 76
Piano, 57, 378.0, 1, 78
Piano, 60, 378.0, 1, 75
Piano, 65, 378.0, 1, 64
Drums, 44, 379.0, 1, 66
Bar~95@380, B, 4/4, A, 140
Bass, 29, 380.0, 1, 70
Drums, 36, 380.0, 1, 74
Drums, 44, 380.0, 1, 66
Piano, 57, 380.0, 1, 62
Piano, 65, 380.0, 1, 77
Piano, 72, 380.0, 1, 67
Piano, 77, 380.0, 1, 64
Piano, 84, 380.0, 1, 63
Drums, 44, 381.0, 1, 63
Piano, 57, 381.0, 1, 75
Piano, 60, 381.0, 1, 62
Piano, 65, 381.0, 1, 64
Piano, 72, 381.0, 1, 74
Bass, 29, 382.0, 1, 66
Drums, 36, 382.0, 1, 80
Drums, 44, 382.0, 1, 73
Drums, 44, 383.0, 1, 63
Bar~96@384, B, 4/4, A, 140
Bass, 38, 384.0, 1, 75
Drums, 36, 384.0, 1, 65
Drums, 44, 384.0, 1, 64
Drums, 44, 385.0, 1, 79
Bass, 29, 386.0, 1, 62
Drums, 36, 386.0, 1, 67
Drums, 44, 386.0, 1, 66
Piano, 53, 386.0, 1, 64
Piano, 57, 386.0, 1, 80
Piano, 62, 386.0, 1, 72
Piano, 69, 386.0, 1, 78
Drums, 44, 387.0, 1, 67
Bar~97@388, B, 4/4, A, 140
Bass, 31, 388.0, 1, 70
Drums, 36, 388.0, 1, 80
Drums, 44, 388.0, 1, 69
Piano, 50, 388.0, 1, 78
Piano, 55, 388.0, 1, 61
Piano, 59, 388.0, 1, 76
Piano, 67, 388.0, 1, 71
Piano, 74, 388.0, 1, 68
Piano, 79, 388.0, 1, 78
Drums, 44, 389.0, 1, 61
Bass, 31, 390.0, 1, 73
Drums, 36, 390.0, 1, 72
Drums, 44, 390.0, 1, 60
Drums, 44, 391.0, 1, 63
Bar~98@392, B, 4/4, A, 140
Bass, 36, 392.0, 1, 69
Drums, 36, 392.0, 1, 77
Drums, 44, 392.0, 1, 73
Drums, 44, 393.0, 1, 80
Bass, 36, 394.0, 1, 66
Drums, 36, 394.0, 1, 78
Drums, 44, 394.0, 1, 69
Piano, 52, 394.0, 1, 62
Piano, 55, 394.0, 1, 64
Piano, 60, 394.0, 1, 61
Piano, 67, 394.0, 1, 77
Drums, 44, 395.0, 1, 61
Piano, 60, 395.0, 1, 60
Piano, 64, 395.0, 1, 65
Piano, 67, 395.0, 1, 69
Piano, 72, 395.0, 1, 66
Bar~99@396, B, 4/4, A, 140
Bass, 36, 396.0, 1, 63
Drums, 36, 396.0, 1, 75
Drums, 44, 396.0, 1, 62
Piano, 52, 396.0, 1, 79
Piano, 55, 396.0, 1, 70
Piano, 60, 396.0, 1, 67
Piano, 67, 396.0, 1, 69
Drums, 44, 397.0, 1, 76
Piano, 52, 397.0, 1, 61
Piano, 55, 397.0, 1, 66
Piano, 60, 397.0, 1, 60
Piano, 67, 397.0, 1, 63
Bass, 36, 398.0, 1, 66
Drums, 36, 398.0, 1, 75
Drums, 44, 398.0, 1, 75
Drums, 44, 399.0, 1, 75
Bar~100@400, B, 4/4, A, 140
Bass, 30, 400.0, 1, 62
Drums, 36, 400.0, 1, 76
Drums, 44, 400.0, 1, 75
Drums, 44, 401.0, 1, 68
Bass, 30, 402.0, 1, 72
Drums, 36, 402.0, 1, 78
Drums, 44, 402.0, 1, 64
Piano, 54, 402.0, 1, 71
Piano, 57, 402.0, 1, 77
Piano, 66, 402.0, 1, 73
Piano, 72, 402.0, 1, 73
Bass, 36, 403.0, 1, 61
Drums, 44, 403.0, 1, 74
Bar~101@404, B, 4/4, A, 140
Bass, 35, 404.0, 1, 65
Drums, 36, 404.0, 1, 65
Drums, 44, 404.0, 1, 77
Piano, 54, 404.0, 1, 60
Piano, 59, 404.0, 1, 68
Piano, 63, 404.0, 1, 67
Piano, 66, 404.0, 1, 67
Drums, 44, 405.0, 1, 79
Piano, 54, 405.0, 1, 74
Piano, 59, 405.0, 1, 63
Piano, 63, 405.0, 1, 79
Piano, 66, 405.0, 1, 70
Bass, 47, 406.0, 1, 72
Drums, 36, 406.0, 1, 66
Drums, 44, 406.0, 1, 70
Drums, 44, 407.0, 1, 70
Bar~102@408, B, 4/4, A, 140
Bass, 40, 408.0, 1, 65
Drums, 36, 408.0, 1, 61
Drums, 44, 408.0, 1, 65
Drums, 44, 409.0, 1, 61
Bass, 33, 410.0, 1, 71
Drums, 36, 410.0, 1, 67
Drums, 44, 410.0, 1, 70
Drums, 44, 411.0, 1, 66
Bar~103@412, B, 4/4, A, 140
Bass, 38, 412.0, 1, 72
Drums, 36, 412.0, 1, 71
Drums, 44, 412.0, 1, 78
Drums, 44, 413.0, 1, 80
Bass, 31, 414.0, 1, 75
Piano, 50, 414.0, 1, 64
Piano, 55, 414.0, 1, 78
Piano, 59, 414.0, 1, 77
Piano, 67, 414.0, 1, 70
Piano, 74, 414.0, 1, 72
Piano, 79, 414.0, 1, 68
Drums, 44, 415.0, 1, 65
Bar~104@416, B, 4/4, A, 140
Bass, 33, 416.0, 1, 76
Drums, 44, 417.0, 1, 79
Bass, 33, 418.0, 1, 62
Drums, 36, 418.0, 1, 64
Drums, 44, 418.0, 1, 74
Drums, 44, 419.0, 1, 67
Piano, 60, 419.0, 1, 62
Piano, 64, 419.0, 1, 62
Piano, 69, 419.0, 1, 75
Piano, 76, 419.0, 1, 66
Bar~105@420, B, 4/4, A, 140
Bass, 43, 420.0, 1, 73
Drums, 36, 420.0, 1, 61
Drums, 44, 420.0, 1, 79
Piano, 57, 420.0, 1, 77
Piano, 60, 420.0, 1, 66
Piano, 64, 420.0, 1, 67
Piano, 69, 420.0, 1, 75
Drums, 44, 421.0, 1, 77
Piano, 57, 421.0, 1, 61
Piano, 60, 421.0, 1, 67
Piano, 64, 421.0, 1, 71
Piano, 69, 421.0, 1, 76
Bass, 31, 422.0, 1, 65
Drums, 36, 422.0, 1, 64
Drums, 44, 422.0, 1, 78
Drums, 44, 423.0, 1, 76
Bar~106@424, B, 4/4, A, 140
Bass, 30, 424.0, 1, 66
Drums, 36, 424.0, 1, 72
Drums, 44, 424.0, 1, 71
Piano, 57, 424.0, 1, 68
Piano, 62, 424.0, 1, 78
Piano, 66, 424.0, 1, 64
Piano, 74, 424.0, 1, 63
Piano, 81, 424.0, 1, 62
Piano, 86, 424.0, 1, 79
Drums, 44, 425.0, 1, 77
Bass, 30, 426.0, 1, 74
Drums, 36, 426.0, 1, 67
Drums, 44, 426.0, 1, 76
Drums, 44, 427.0, 1, 80
Piano, 62, 427.0, 1, 70
Piano, 66, 427.0, 1, 70
Piano, 69, 427.0, 1, 63
Piano, 74, 427.0, 1, 74
Bar~107@428, B, 4/4, A, 140
Bass, 29, 428.0, 1, 67
Drums, 36, 428.0, 1, 71
Drums, 44, 428.0, 1, 80
Piano, 50, 428.0, 1, 75
Piano, 53, 428.0, 1, 66
Piano, 57, 428.0, 1, 66
Piano, 62, 428.0, 1, 70
Drums, 44, 429.0, 1, 77
Piano, 53, 429.0, 1, 80
Piano, 57, 429.0, 1, 74
Piano, 62, 429.0, 1, 71
Piano, 69, 429.0, 1, 66
Piano, 74, 429.0, 1, 66
Piano, 81, 429.0, 1, 74
Bass, 41, 430.0, 1, 69
Drums, 36, 430.0, 1, 76
Drums, 44, 430.0, 1, 70
Drums, 44, 431.0, 1, 71
Bar~108@432, B, 4/4, A, 140
Bass, 33, 432.0, 1, 76
Drums, 36, 432.0, 1, 62
Drums, 44, 432.0, 1, 74
Piano, 57, 432.0, 1, 77
Piano, 60, 432.0, 1, 68
Piano, 64, 432.0, 1, 73
Piano, 69, 432.0, 1, 66
Drums, 44, 433.0, 1, 77
Bass, 36, 434.0, 1, 79
Drums, 36, 434.0, 1, 74
Drums, 44, 434.0, 1, 70
Drums, 44, 435.0, 1, 80
Piano, 48, 435.0, 1, 64
Piano, 52, 435.0, 1, 66
Piano, 57, 435.0, 1, 72
Piano, 64, 435.0, 1, 62
Piano, 69, 435.0, 1, 76
Piano, 76, 435.0, 1, 78
Bar~109@436, B, 4/4, A, 140
Bass, 35, 436.0, 1, 67
Drums, 36, 436.0, 1, 72
Drums, 44, 436.0, 1, 65
Piano, 50, 436.0, 1, 68
Piano, 59, 436.0, 1, 73
Piano, 65, 436.0, 1, 78
Piano, 71, 436.0, 1, 78
Piano, 77, 436.0, 1, 75
Drums, 44, 437.0, 1, 67
Piano, 50, 437.0, 1, 60
Piano, 59, 437.0, 1, 74
Piano, 65, 437.0, 1, 78
Piano, 71, 437.0, 1, 78
Piano, 77, 437.0, 1, 63
Bass, 28, 438.0, 1, 72
Drums, 36, 438.0, 1, 67
Drums, 44, 438.0, 1, 80
Drums, 44, 439.0, 1, 70
Bar~110@440, B, 4/4, A, 140
Bass, 45, 440.0, 1, 75
Drums, 36, 440.0, 1, 63
Drums, 44, 440.0, 1, 71
Drums, 44, 441.0, 1, 64
Bass, 45, 442.0, 1, 66
Drums, 36, 442.0, 1, 66
Drums, 44, 442.0, 1, 61
Piano, 57, 442.0, 1, 63
Piano, 60, 442.0, 1, 70
Piano, 64, 442.0, 1, 72
Piano, 69, 442.0, 1, 62
Bass, 52, 443.0, 1, 68
Drums, 44, 443.0, 1, 68
Bar~111@444, B, 4/4, A, 140
Bass, 40, 444.0, 1, 79
Drums, 36, 444.0, 1, 72
Drums, 44, 444.0, 1, 62
Piano, 60, 444.0, 1, 75
Piano, 64, 444.0, 1, 75
Piano, 69, 444.0, 1, 60
Piano, 76, 444.0, 1, 77
Drums, 44, 445.0, 1, 80
Piano, 57, 445.0, 1, 75
Piano, 60, 445.0, 1, 64
Piano, 64, 445.0, 1, 64
Piano, 69, 445.0, 1, 62
Bass, 33, 446.0, 1, 63
Piano, 57, 446.0, 1, 61
Piano, 60, 446.0, 1, 60
Piano, 64, 446.0, 1, 71
Piano, 69, 446.0, 1, 64
Bass, 28, 447.0, 1, 73
Bar~112@448, B, 4/4, A, 140
Bass, 33, 448.0, 1, 60
Drums, 44, 449.0, 1, 66
Bass, 33, 450.0, 1, 71
Drums, 36, 450.0, 1, 66
Drums, 44, 450.0, 1, 63
Piano, 48, 450.0, 1, 69
Piano, 52, 450.0, 1, 61
Piano, 57, 450.0, 1, 78
Piano, 64, 450.0, 1, 76
Piano, 69, 450.0, 1, 67
Piano, 76, 450.0, 1, 74
Drums, 44, 451.0, 1, 67
Piano, 60, 451.0, 1, 72
Piano, 64, 451.0, 1, 73
Piano, 69, 451.0, 1, 65
Piano, 76, 451.0, 1, 70
Bar~113@452, B, 4/4, A, 140
Bass, 33, 452.0, 1, 71
Drums, 36, 452.0, 1, 78
Drums, 44, 452.0, 1, 66
Piano, 60, 452.0, 1, 78
Piano, 64, 452.0, 1, 71
Piano, 69, 452.0, 1, 71
Piano, 76, 452.0, 1, 76
Drums, 44, 453.0, 1, 75
Piano, 60, 453.0, 1, 74
Piano, 64, 453.0, 1, 61
Piano, 69, 453.0, 1, 77
Piano, 76, 453.0, 1, 64
Bass, 33, 454.0, 1, 65
Drums, 36, 454.0, 1, 63
Drums, 44, 454.0, 1, 66
Drums, 44, 455.0, 1, 72
Bar~114@456, B, 4/4, A, 140
Bass, 36, 456.0, 1, 78
