kern2csv4playerString: Bar~0@0, Swing, 4/4, A, 140
Bass, 38, 38.0, 1, 67
Drums, 44, 38.0, 1, 63
Piano, 59, 38.0, 1, 60
Piano, 53, 38.0, 1, 78
Piano, 79, 38.0, 1, 71
Piano, 73, 38.0, 1, 60
Piano, 67, 38.0, 1, 80
Piano, 62, 38.0, 1, 73
Bass, 31, 39.0, 1, 77
Drums, 44, 39.0, 0.333, 60
Drums, 44, 39.666, 0.333, 75
Bar~10@40, Swing, 4/4, A, 140
Bass, 33, 40.0, 1, 62
Drums, 36, 40.0, 1, 60
Piano, 57, 40.0, 1, 71
Piano, 74, 40.0, 1, 72
Piano, 67, 40.0, 1, 72
Piano, 64, 40.0, 1, 79
Bass, 36, 41.0, 1, 66
Drums, 44, 41.0, 0.333, 79
Drums, 44, 41.666, 0.333, 72
Bass, 36, 42.0, 1, 60
Drums, 44, 42.0, 1, 75
Bass, 29, 43.0, 1, 78
Drums, 44, 43.0, 0.333, 72
Drums, 44, 43.666, 0.333, 80
Bar~11@44, Swing, 4/4, A, 140
Bass, 40, 44.0, 1, 77
Drums, 44, 44.0, 1, 80
Bass, 48, 45.0, 1, 77
Drums, 44, 45.0, 0.333, 63
Piano, 55, 45.0, 1, 73
Piano, 70, 45.0, 1, 64
Piano, 64, 45.0, 1, 76
Piano, 62, 45.0, 1, 69
Drums, 40, 45.666, 0.333, 77
Drums, 44, 45.666, 0.333, 60
Bass, 49, 46.0, 1, 73
Drums, 44, 46.0, 1, 70
Piano, 55, 46.0, 1, 60
Piano, 70, 46.0, 1, 77
Piano, 64, 46.0, 1, 78
Piano, 61, 46.0, 1, 70
Bass, 46, 47.0, 1, 60
Drums, 44, 47.0, 0.333, 78
Drums, 44, 47.666, 0.333, 63
Bar~12@48, Swing, 4/4, A, 140
Bass, 40, 48.0, 1, 78
Drums, 44, 48.0, 1, 68
Bass, 36, 49.0, 1, 78
Drums, 44, 49.0, 0.333, 60
Drums, 36, 49.666, 0.333, 71
Drums, 44, 49.666, 0.333, 79
Bass, 36, 50.0, 1, 72
Drums, 44, 50.0, 1, 70
Piano, 55, 50.0, 1, 69
Piano, 71, 50.0, 1, 80
Piano, 64, 50.0, 1, 63
Piano, 60, 50.0, 1, 68
Bass, 40, 51.0, 1, 77
Drums, 44, 51.0, 0.333, 66
Drums, 36, 51.666, 0.333, 68
Drums, 44, 51.666, 0.333, 68
Bar~13@52, Swing, 4/4, A, 140
Bass, 33, 52.0, 1, 72
Drums, 44, 52.0, 1, 70
Bass, 37, 53.0, 1, 67
Drums, 36, 53.0, 1, 66
Drums, 44, 53.0, 0.333, 73
Drums, 44, 53.666, 0.333, 68
Bass, 38, 54.0, 1, 75
Drums, 44, 54.0, 1, 70
Piano, 76, 54.0, 1, 73
Piano, 69, 54.0, 1, 62
Piano, 66, 54.0, 1, 75
Piano, 60, 54.0, 1, 73
Drums, 36, 54.666, 0.333, 71
Bass, 45, 55.0, 1, 62
Drums, 44, 55.0, 0.333, 73
Drums, 36, 55.666, 0.333, 64
Drums, 44, 55.666, 0.333, 70
Bar~14@56, Swing, 4/4, A, 140
Bass, 33, 56.0, 1, 78
Drums, 44, 56.0, 1, 79
Bass, 29, 57.0, 1, 78
Drums, 44, 57.0, 0.333, 72
Drums, 44, 57.666, 0.333, 77
Bass, 38, 58.0, 1, 61
Drums, 44, 58.0, 1, 74
Piano, 53, 58.0, 1, 68
Piano, 69, 58.0, 1, 76
Piano, 64, 58.0, 1, 72
Piano, 60, 58.0, 1, 68
Bass, 41, 59.0, 1, 71
Drums, 44, 59.0, 0.333, 66
Drums, 44, 59.666, 0.333, 76
Bar~15@60, Swing, 4/4, A, 140
Bass, 43, 60.0, 1, 62
Drums, 44, 60.0, 1, 65
Bass, 50, 61.0, 1, 64
Drums, 44, 61.0, 0.333, 62
Drums, 44, 61.666, 0.333, 77
Bass, 31, 62.0, 1, 73
Drums, 44, 62.0, 1, 71
Piano, 59, 62.0, 1, 79
Piano, 57, 62.0, 1, 66
Piano, 53, 62.0, 1, 74
Piano, 79, 62.0, 1, 70
Piano, 74, 62.0, 1, 76
Piano, 67, 62.0, 1, 73
Piano, 64, 62.0, 1, 80
Drums, 36, 62.666, 0.333, 61
Bass, 37, 63.0, 1, 71
Drums, 44, 63.0, 0.333, 65
Drums, 36, 63.666, 0.333, 69
Drums, 44, 63.666, 0.333, 70
Bar~16@64, Swing, 4/4, A, 140
Bass, 38, 64.0, 1, 61
Drums, 44, 64.0, 1, 80
Piano, 58, 64.0, 1, 73
Piano, 74, 64.0, 1, 68
Piano, 69, 64.0, 1, 77
Piano, 65, 64.0, 1, 72
Bass, 31, 65.0, 1, 69
Drums, 44, 65.0, 0.333, 75
Drums, 44, 65.666, 0.333, 73
Bass, 31, 66.0, 1, 70
Drums, 44, 66.0, 1, 70
Piano, 58, 66.0, 1, 71
Piano, 74, 66.0, 1, 78
