kern2csv4playerString: Bar~0@0, Swing, 4/4, A, 140
Piano, 64, 168.0, 1, 70
Drums, 40, 168.666, 0.333, 65
Bass, 43, 169.0, 1, 64
Drums, 44, 169.0, 0.333, 76
Drums, 44, 169.666, 0.333, 68
Bass, 33, 170.0, 1, 65
Drums, 44, 170.0, 1, 72
Piano, 57, 170.0, 1, 65
Piano, 84, 170.0, 1, 76
Piano, 76, 170.0, 1, 65
Piano, 72, 170.0, 1, 75
Piano, 67, 170.0, 1, 76
Piano, 62, 170.0, 1, 62
Bass, 36, 171.0, 1, 71
Drums, 44, 171.0, 0.333, 76
Drums, 44, 171.666, 0.333, 73
Bar~43@172, Swing, 4/4, A, 140
Bass, 34, 172.0, 1, 78
Drums, 36, 172.0, 1, 79
Drums, 44, 172.0, 1, 77
Piano, 55, 172.0, 1, 63
Piano, 70, 172.0, 1, 71
Piano, 64, 172.0, 1, 69
Piano, 62, 172.0, 1, 63
Bass, 28, 173.0, 1, 69
Drums, 36, 173.0, 1, 60
Drums, 44, 173.0, 0.333, 78
Drums, 44, 173.666, 0.333, 71
Bass, 28, 174.0, 1, 66
Drums, 44, 174.0, 0.333, 77
Drums, 44, 174.666, 0.333, 65
Bass, 33, 175.0, 1, 70
Drums, 44, 175.0, 0.333, 75
Drums, 36, 175.666, 0.333, 60
Drums, 44, 175.666, 0.333, 68
Bar~44@176, Swing, 4/4, A, 140
Bass, 36, 176.0, 1, 79
Drums, 36, 176.0, 1, 74
Drums, 44, 176.0, 1, 70
Bass, 38, 177.0, 1, 61
Drums, 44, 177.0, 0.333, 78
Drums, 44, 177.666, 0.333, 74
Bass, 45, 178.0, 1, 70
Drums, 44, 178.0, 1, 66
Piano, 74, 178.0, 1, 70
Piano, 71, 178.0, 1, 72
Piano, 67, 178.0, 1, 76
Piano, 60, 178.0, 1, 79
Drums, 40, 178.666, 0.333, 67
Bass, 39, 179.0, 1, 72
Drums, 44, 179.0, 0.333, 68
Drums, 44, 179.666, 0.333, 78
Bar~45@180, Swing, 4/4, A, 140
Bass, 38, 180.0, 1, 60
Drums, 44, 180.0, 1, 78
Bass, 42, 181.0, 1, 60
Drums, 44, 181.0, 0.333, 63
Drums, 44, 181.666, 0.333, 70
Bass, 38, 182.0, 1, 65
Drums, 44, 182.0, 0.333, 73
Piano, 54, 182.0, 1, 71
Piano, 71, 182.0, 1, 67
Piano, 64, 182.0, 1, 62
Piano, 60, 182.0, 1, 66
Drums, 44, 182.666, 0.333, 65
Bass, 36, 183.0, 1, 62
Drums, 44, 183.0, 0.333, 65
Drums, 44, 183.666, 0.333, 77
Bar~46@184, Swing, 4/4, A, 140
Bass, 29, 184.0, 1, 65
Drums, 44, 184.0, 1, 65
Bass, 33, 185.0, 1, 67
Drums, 44, 185.0, 0.333, 70
Drums, 36, 185.666, 0.333, 60
Drums, 44, 185.666, 0.333, 63
Bass, 38, 186.0, 1, 76
Drums, 44, 186.0, 1, 60
Piano, 53, 186.0, 1, 68
Piano, 69, 186.0, 1, 63
Piano, 64, 186.0, 1, 77
Piano, 60, 186.0, 1, 67
Drums, 36, 186.666, 0.333, 71
Bass, 41, 187.0, 1, 63
Drums, 44, 187.0, 0.333, 73
Drums, 36, 187.666, 0.333, 69
Drums, 44, 187.666, 0.333, 71
Bar~47@188, Swing, 4/4, A, 140
Bass, 43, 188.0, 1, 80
Drums, 44, 188.0, 1, 75
Drums, 40, 188.666, 0.333, 68
Bass, 47, 189.0, 1, 71
Drums, 44, 189.0, 0.333, 65
Drums, 44, 189.666, 0.333, 72
Bass, 50, 190.0, 1, 64
Drums, 44, 190.0, 1, 74
Piano, 59, 190.0, 1, 60
Piano, 53, 190.0, 1, 68
Piano, 67, 190.0, 1, 72
Piano, 62, 190.0, 1, 70
Bass, 43, 191.0, 1, 72
Drums, 44, 191.0, 0.333, 75
Drums, 44, 191.666, 0.333, 61
Bar~48@192, Swing, 4/4, A, 140
Bass, 43, 192.0, 1, 67
Drums, 44, 192.0, 1, 62
Piano, 58, 192.0, 1, 63
Piano, 53, 192.0, 1, 77
Piano, 69, 192.0, 1, 72
Piano, 62, 192.0, 1, 79
Bass, 41, 193.0, 1, 73
Drums, 44, 193.0, 0.333, 79
Drums, 44, 193.666, 0.333, 68
Bass, 34, 194.0, 1, 65
Drums, 44, 194.0, 1, 80
Bass, 31, 195.0, 1, 74
Drums, 44, 195.0, 0.333, 65
Drums, 44, 195.666, 0.333, 68
Bar~49@196, Swing, 4/4, A, 140
Bass, 30, 196.0, 1, 68
Drums, 44, 196.0, 1, 79
Bass, 37, 197.0, 1, 60
Drums, 44, 197.0, 0.333, 76
Drums, 44, 197.666, 0.333, 63
Bass, 34, 198.0, 1, 67
Drums, 44, 198.0, 1, 62
Piano, 58, 198.0, 1, 76
Piano, 52, 198.0, 1, 78
Piano, 68, 198.0, 1, 61
Piano, 63, 198.0, 1, 75
Drums, 36, 198.666, 0.333, 71
Bass, 32, 199.0, 1, 74
Drums, 44, 199.0, 1, 72
Bar~50@200, Swing, 4/4, A, 140
Bass, 29, 200.0, 1, 75
Drums, 44, 200.0, 1, 69
Bass, 33, 201.0, 1, 71
Drums, 44, 201.0, 0.333, 63
Drums, 44, 201.666, 0.333, 76
Bass, 36, 202.0, 1, 79
Drums, 44, 202.0, 1, 67
Drums, 36, 202.666, 0.333, 77
Bass, 41, 203.0, 1, 72
Drums, 44, 203.0, 0.333, 65
Drums, 36, 203.666, 0.333, 65
Drums, 44, 203.666, 0.333, 77
Bar~51@204, Swing, 4/4, A, 140
Bass, 42, 204.0, 1, 68
Drums, 36, 204.0, 1, 80
Drums, 44, 204.0, 1, 68
Piano, 57, 204.0, 1, 71
Piano, 51, 204.0, 1, 67
Piano, 66, 204.0, 1, 66
Piano, 61, 204.0, 1, 76
Bass, 37, 205.0, 1, 75
Drums, 44, 205.0, 0.333, 79
Piano, 57, 205.0, 1, 60
Piano, 51, 205.0, 1, 63
Piano, 66, 205.0, 1, 73
Piano, 61, 205.0, 1, 75
Drums, 44, 205.666, 0.333, 76
Bass, 30, 206.0, 1, 79
Drums, 44, 206.0, 1, 74
Bass, 34, 207.0, 1, 66
Drums, 44, 207.0, 0.333, 61
Drums, 44, 207.666, 0.333, 62
Bar~52@208, Swing, 4/4, A, 140
Bass, 35, 208.0, 1, 79
Drums, 36, 208.0, 1, 61
Drums, 44, 208.0, 1, 65
Bass, 28, 209.0, 1, 73
Drums, 44, 209.0, 0.333, 62
Drums, 44, 209.666, 0.333, 67
Bass, 31, 210.0, 1, 60
Drums, 44, 210.0, 1, 63
Piano, 55, 210.0, 1, 76
Piano, 81, 210.0, 1, 62
Piano, 76, 210.0, 1, 78
Piano, 69, 210.0, 1, 71
Piano, 66, 210.0, 1, 73
Piano, 62, 210.0, 1, 67
Bass, 28, 211.0, 1, 73
Drums, 44, 211.0, 0.333, 72
Drums, 44, 211.666, 0.333, 73
Bar~53@212, Swing, 4/4, A, 140
Bass, 37, 212.0, 1, 67
Drums, 36, 212.0, 1, 61
Drums, 44, 212.0, 1, 68
Bass, 44, 213.0, 1, 75
Drums, 44, 213.0, 0.333, 63
Drums, 44, 213.666, 0.333, 80
Bass, 45, 214.0, 1, 61
Drums, 44, 214.0, 1, 61
Piano, 55, 214.0, 1, 74
Piano, 71, 214.0, 1, 62
Piano, 66, 214.0, 1, 67
Piano, 61, 214.0, 1, 61
Bass, 40, 215.0, 1, 78
Drums, 44, 215.0, 0.333, 65
Drums, 44, 215.666, 0.333, 63
Bar~54@216, Swing, 4/4, A, 140
Bass, 38, 216.0, 1, 65
Drums, 44, 216.0, 1, 79
Bass, 33, 217.0, 1, 72
Drums, 44, 217.0, 0.333, 76
Drums, 44, 217.666, 0.333, 71
Bass, 38, 218.0, 1, 73
Drums, 44, 218.0, 1, 67
Piano, 54, 218.0, 1, 78
Piano, 71, 218.0, 1, 63
Piano, 64, 218.0, 1, 60
Piano, 60, 218.0, 1, 61
Bass, 32, 219.0, 1, 64
Drums, 44, 219.0, 0.333, 76
Drums, 44, 219.666, 0.333, 68
Bar~55@220, Swing, 4/4, A, 140
Bass, 31, 220.0, 1, 70
Drums, 44, 220.0, 1, 63
Bass, 39, 221.0, 1, 78
Drums, 44, 221.0, 0.333, 78
Drums, 44, 221.666, 0.333, 60
Bass, 39, 222.0, 1, 78
Drums, 44, 222.0, 1, 65
Bass, 35, 223.0, 1, 77
Drums, 44, 223.0, 0.333, 61
Drums, 44, 223.666, 0.333, 75
Bar~56@224, Swing, 4/4, A, 140
Bass, 43, 224.0, 1, 78
Drums, 44, 224.0, 1, 69
Piano, 59, 224.0, 1, 64
Piano, 52, 224.0, 1, 63
Piano, 69, 224.0, 1, 61
Piano, 62, 224.0, 1, 66
Bass, 47, 225.0, 1, 77
Drums, 44, 225.0, 0.333, 69
Drums, 44, 225.666, 0.333, 62
Bass, 48, 226.0, 1, 79
Drums, 44, 226.0, 1, 75
Piano, 57, 226.0, 1, 77
Piano, 52, 226.0, 1, 76
Piano, 79, 226.0, 1, 73
Piano, 71, 226.0, 1, 78
Piano, 67, 226.0, 1, 61
Piano, 62, 226.0, 1, 65
Bass, 55, 227.0, 1, 71
Drums, 44, 227.0, 0.333, 61
Drums, 44, 227.666, 0.333, 80
Bar~57@228, Swing, 4/4, A, 140
Bass, 43, 228.0, 1, 62
Drums, 44, 228.0, 1, 70
Bass, 41, 229.0, 1, 63
Drums, 44, 229.0, 0.333, 80
Piano, 59, 229.0, 1, 63
Piano, 53, 229.0, 1, 80
Piano, 79, 229.0, 1, 66
Piano, 73, 229.0, 1, 66
Piano, 67, 229.0, 1, 73
Piano, 62, 229.0, 1, 77
Drums, 44, 229.666, 0.333, 80
Bass, 35, 230.0, 1, 80
Drums, 44, 230.0, 1, 65
Drums, 36, 230.666, 0.333, 72
Bass, 38, 231.0, 1, 62
Drums, 44, 231.0, 0.333, 69
Drums, 36, 231.666, 0.333, 76
Drums, 44, 231.666, 0.333, 68
Bar~58@232, Swing, 4/4, A, 140
Bass, 33, 232.0, 1, 73
Drums, 44, 232.0, 1, 60
Piano, 57, 232.0, 1, 61
Piano, 74, 232.0, 1, 76
Piano, 67, 232.0, 1, 66
Piano, 64, 232.0, 1, 78
Bass, 36, 233.0, 1, 63
Drums, 44, 233.0, 0.333, 70
Drums, 44, 233.666, 0.333, 70
Bass, 36, 234.0, 1, 73
Drums, 44, 234.0, 1, 78
Bass, 33, 235.0, 1, 73
Drums, 44, 235.0, 0.333, 78
Drums, 44, 235.666, 0.333, 79
Bar~59@236, Swing, 4/4, A, 140
Bass, 28, 236.0, 1, 77
Drums, 44, 236.0, 1, 67
Bass, 31, 237.0, 1, 65
Drums, 44, 237.0, 0.333, 74
Drums, 44, 237.666, 0.333, 61
Bass, 37, 238.0, 1, 66
Drums, 44, 238.0, 1, 68
Bass, 33, 239.0, 1, 77
Drums, 44, 239.0, 0.333, 77
Piano, 58, 239.0, 1, 76
Piano, 55, 239.0, 1, 63
Piano, 49, 239.0, 1, 77
Piano, 64, 239.0, 1, 74
Drums, 44, 239.666, 0.333, 71
Bar~60@240, Swing, 4/4, A, 140
Bass, 45, 240.0, 1, 70
Drums, 44, 240.0, 1, 69
Bass, 30, 241.0, 1, 60
Drums, 44, 241.0, 1, 78
Bass, 29, 242.0, 1, 78
Drums, 44, 242.0, 0.333, 67
Piano, 57, 242.0, 1, 80
Piano, 53, 242.0, 1, 70
Piano, 48, 242.0, 1, 77
Piano, 64, 242.0, 1, 64
Drums, 44, 242.666, 0.333, 69
Bass, 36, 243.0, 1, 64
Drums, 44, 243.0, 0.333, 69
Drums, 44, 243.666, 0.333, 78
Bar~61@244, Swing, 4/4, A, 140
Bass, 37, 244.0, 1, 60
Drums, 44, 244.0, 1, 65
Bass, 41, 245.0, 1, 70
Drums, 44, 245.0, 0.333, 78
Drums, 44, 245.666, 0.333, 65
Bass, 33, 246.0, 1, 66
Drums, 44, 246.0, 1, 71
Piano, 59, 246.0, 1, 78
Piano, 73, 246.0, 1, 60
Piano, 69, 246.0, 1, 80
Piano, 65, 246.0, 1, 60
Bass, 35, 247.0, 1, 60
Drums, 44, 247.0, 0.333, 79
Drums, 44, 247.666, 0.333, 62
Bar~62@248, Swing, 4/4, A, 140
Bass, 36, 248.0, 1, 72
Drums, 44, 248.0, 1, 60
Bass, 42, 249.0, 1, 72
Drums, 44, 249.0, 0.333, 75
Drums, 44, 249.666, 0.333, 77
Bass, 43, 250.0, 1, 71
Drums, 44, 250.0, 1, 65
Piano, 59, 250.0, 1, 62
Piano, 53, 250.0, 1, 71
Piano, 67, 250.0, 1, 80
Piano, 62, 250.0, 1, 71
Bass, 41, 251.0, 1, 60
Drums, 44, 251.0, 0.333, 76
Drums, 44, 251.666, 0.333, 60
Bar~63@252, Swing, 4/4, A, 140
Bass, 36, 252.0, 1, 60
Drums, 44, 252.0, 1, 73
Bass, 31, 253.0, 1, 73
Drums, 44, 253.0, 0.333, 62
Piano, 52, 253.0, 1, 78
Piano, 72, 253.0, 1, 63
Piano, 69, 253.0, 1, 70
Piano, 67, 253.0, 1, 63
Piano, 60, 253.0, 1, 78
Drums, 44, 253.666, 0.333, 68
Bass, 35, 254.0, 1, 63
Drums, 44, 254.0, 1, 62
Bass, 38, 255.0, 1, 73
Drums, 44, 255.0, 0.333, 68
Piano, 59, 255.0, 1, 68
Piano, 53, 255.0, 1, 60
Piano, 67, 255.0, 1, 70
Piano, 62, 255.0, 1, 76
Drums, 36, 255.666, 0.333, 68
Drums, 44, 255.666, 0.333, 68
Bar~64@256, Swing, 4/4, A, 140
Bass, 31, 256.0, 1, 76
Drums, 44, 256.0, 1, 69
Bass, 35, 257.0, 1, 60
Drums, 44, 257.0, 0.333, 75
Drums, 44, 257.666, 0.333, 65
Bass, 36, 258.0, 1, 67
Drums, 44, 258.0, 1, 64
Piano, 59, 258.0, 1, 69
Piano, 52, 258.0, 1, 74
Piano, 67, 258.0, 1, 78
Piano, 62, 258.0, 1, 67
Bass, 40, 259.0, 1, 78
Drums, 44, 259.0, 0.333, 66
Drums, 44, 259.666, 0.333, 75
Bar~65@260, Swing, 4/4, A, 140
Bass, 43, 260.0, 1, 65
Drums, 44, 260.0, 1, 76
Bass, 47, 261.0, 1, 63
Drums, 44, 261.0, 0.333, 61
Drums, 44, 261.666, 0.333, 65
Bass, 47, 262.0, 1, 62
Drums, 44, 262.0, 1, 62
Piano, 59, 262.0, 1, 80
Piano, 53, 262.0, 1, 61
Piano, 67, 262.0, 1, 74
Piano, 61, 262.0, 1, 67
Bass, 50, 263.0, 1, 77
Drums, 44, 263.0, 0.333, 79
Drums, 44, 263.666, 0.333, 75
Bar~66@264, Swing, 4/4, A, 140
Bass, 45, 264.0, 1, 64
Drums, 44, 264.0, 1, 79
Bass, 48, 265.0, 1, 62
Drums, 44, 265.0, 0.333, 64
Drums, 44, 265.666, 0.333, 77
Bass, 36, 266.0, 1, 69
Drums, 44, 266.0, 1, 71
Piano, 57, 266.0, 1, 72
Piano, 52, 266.0, 1, 60
Piano, 67, 266.0, 1, 72
Piano, 60, 266.0, 1, 79
Bass, 31, 267.0, 1, 75
Drums, 44, 267.0, 0.333, 61
Drums, 44, 267.666, 0.333, 74
Bar~67@268, Swing, 4/4, A, 140
Bass, 28, 268.0, 1, 74
Drums, 44, 268.0, 1, 64
Bass, 31, 269.0, 1, 62
Drums, 44, 269.0, 0.333, 69
Drums, 44, 269.666, 0.333, 66
Bass, 37, 270.0, 1, 65
Drums, 44, 270.0, 1, 75
Piano, 58, 270.0, 1, 63
Piano, 55, 270.0, 1, 79
Piano, 49, 270.0, 1, 68
Piano, 64, 270.0, 1, 73
Drums, 36, 270.666, 0.333, 73
Bass, 34, 271.0, 1, 62
Drums, 44, 271.0, 0.333, 70
Drums, 36, 271.666, 0.333, 62
Drums, 44, 271.666, 0.333, 61
Bar~68@272, Swing, 4/4, A, 140
Bass, 33, 272.0, 1, 76
Drums, 36, 272.0, 1, 70
Drums, 44, 272.0, 1, 71
Bass, 36, 273.0, 1, 65
Drums, 44, 273.0, 0.333, 78
Drums, 44, 273.666, 0.333, 65
Bass, 36, 274.0, 1, 80
Drums, 44, 274.0, 1, 70
Piano, 76, 274.0, 1, 64
Piano, 69, 274.0, 1, 66
Piano, 67, 274.0, 1, 74
Piano, 60, 274.0, 1, 63
Drums, 40, 274.666, 0.333, 61
Bass, 44, 275.0, 1, 76
Drums, 44, 275.0, 0.333, 76
Drums, 44, 275.666, 0.333, 68
Bar~69@276, Swing, 4/4, A, 140
Bass, 45, 276.0, 1, 80
Drums, 44, 276.0, 1, 79
Bass, 34, 277.0, 1, 60
Drums, 44, 277.0, 0.333, 66
Drums, 44, 277.666, 0.333, 74
Bass, 33, 278.0, 1, 73
Drums, 44, 278.0, 0.333, 60
Piano, 54, 278.0, 1, 70
Piano, 69, 278.0, 1, 62
Piano, 62, 278.0, 1, 63
Piano, 60, 278.0, 1, 77
Drums, 44, 278.666, 0.333, 62
Bass, 36, 279.0, 1, 75
Drums, 44, 279.0, 0.333, 60
Drums, 44, 279.666, 0.333, 73
Bar~70@280, Swing, 4/4, A, 140
Bass, 38, 280.0, 1, 75
Drums, 44, 280.0, 1, 75
Bass, 33, 281.0, 1, 68
Drums, 44, 281.0, 0.333, 80
Drums, 36, 281.666, 0.333, 74
Drums, 44, 281.666, 0.333, 60
Bass, 29, 282.0, 1, 61
Drums, 44, 282.0, 1, 72
Piano, 53, 282.0, 1, 73
Piano, 67, 282.0, 1, 75
Piano, 64, 282.0, 1, 75
Piano, 60, 282.0, 1, 67
Drums, 36, 282.666, 0.333, 61
Bass, 33, 283.0, 1, 79
Drums, 44, 283.0, 0.333, 65
Drums, 36, 283.666, 0.333, 69
Drums, 44, 283.666, 0.333, 74
Bar~71@284, Swing, 4/4, A, 140
Bass, 37, 284.0, 1, 67
Drums, 44, 284.0, 1, 69
Drums, 40, 284.666, 0.333, 80
Bass, 39, 285.0, 1, 76
Drums, 44, 285.0, 0.333, 63
Drums, 44, 285.666, 0.333, 71
Bass, 41, 286.0, 1, 75
Drums, 44, 286.0, 1, 76
Bass, 44, 287.0, 1, 71
Drums, 44, 287.0, 0.333, 63
Drums, 44, 287.666, 0.333, 76
Bar~72@288, Swing, 4/4, A, 140
Bass, 36, 288.0, 1, 80
Drums, 36, 288.0, 1, 64
Drums, 44, 288.0, 1, 76
Piano, 59, 288.0, 1, 60
Piano, 52, 288.0, 1, 64
Piano, 69, 288.0, 1, 61
Piano, 62, 288.0, 1, 66
Bass, 35, 289.0, 1, 62
Drums, 44, 289.0, 0.333, 60
Drums, 40, 289.666, 0.333, 77
Drums, 44, 289.666, 0.333, 68
Bass, 36, 290.0, 1, 67
Drums, 44, 290.0, 1, 61
Bass, 33, 291.0, 1, 61
Drums, 44, 291.0, 0.333, 75
Drums, 44, 291.666, 0.333, 62
Bar~73@292, Swing, 4/4, A, 140
Bass, 31, 292.0, 1, 66
Drums, 36, 292.0, 1, 73
Drums, 44, 292.0, 1, 72
Bass, 38, 293.0, 1, 69
Drums, 44, 293.0, 0.333, 75
Drums, 40, 293.666, 0.333, 80
Drums, 44, 293.666, 0.333, 68
Bass, 35, 294.0, 1, 61
Drums, 44, 294.0, 1, 74
Piano, 59, 294.0, 1, 67
Piano, 53, 294.0, 1, 77
Piano, 79, 294.0, 1, 78
Piano, 73, 294.0, 1, 74
Piano, 67, 294.0, 1, 77
Piano, 62, 294.0, 1, 73
Bass, 31, 295.0, 1, 70
Drums, 44, 295.0, 0.333, 75
Drums, 44, 295.666, 0.333, 79
Bar~74@296, Swing, 4/4, A, 140
Bass, 45, 296.0, 1, 62
Drums, 36, 296.0, 1, 76
Bass, 47, 297.0, 1, 70
Drums, 44, 297.0, 0.333, 75
Drums, 44, 297.666, 0.333, 69
Bass, 48, 298.0, 1, 80
Drums, 44, 298.0, 1, 61
Piano, 57, 298.0, 1, 70
Piano, 52, 298.0, 1, 67
Piano, 67, 298.0, 1, 72
Piano, 60, 298.0, 1, 79
Bass, 53, 299.0, 1, 76
Drums, 44, 299.0, 0.333, 61
Drums, 44, 299.666, 0.333, 66
Bar~75@300, Swing, 4/4, A, 140
Bass, 43, 300.0, 1, 67
Drums, 44, 300.0, 1, 62
Piano, 58, 300.0, 1, 74
Piano, 55, 300.0, 1, 73
Piano, 50, 300.0, 1, 61
Piano, 64, 300.0, 1, 65
Bass, 46, 301.0, 1, 65
Drums, 44, 301.0, 0.333, 63
Drums, 40, 301.666, 0.333, 80
Drums, 44, 301.666, 0.333, 77
Bass, 37, 302.0, 1, 73
Drums, 44, 302.0, 1, 73
Bass, 33, 303.0, 1, 68
Drums, 44, 303.0, 0.333, 71
Drums, 44, 303.666, 0.333, 79
Bar~76@304, Swing, 4/4, A, 140
Bass, 33, 304.0, 1, 61
Drums, 44, 304.0, 1, 63
Piano, 55, 304.0, 1, 66
Piano, 71, 304.0, 1, 75
Piano, 62, 304.0, 1, 66
Piano, 60, 304.0, 1, 74
Bass, 36, 305.0, 1, 75
Drums, 44, 305.0, 0.333, 77
Drums, 44, 305.666, 0.333, 64
Bass, 36, 306.0, 1, 68
Drums, 44, 306.0, 1, 76
Piano, 55, 306.0, 1, 66
Piano, 71, 306.0, 1, 70
Piano, 62, 306.0, 1, 78
Piano, 60, 306.0, 1, 71
Bass, 40, 307.0, 1, 61
Drums, 44, 307.0, 0.333, 68
Drums, 44, 307.666, 0.333, 72
Bar~77@308, Swing, 4/4, A, 140
Bass, 30, 308.0, 1, 73
Drums, 44, 308.0, 1, 74
Piano, 54, 308.0, 1, 70
Piano, 69, 308.0, 1, 75
Piano, 62, 308.0, 1, 64
Piano, 60, 308.0, 1, 73
Bass, 37, 309.0, 1, 74
Drums, 44, 309.0, 0.333, 60
Drums, 44, 309.666, 0.333, 73
Bass, 38, 310.0, 1, 72
Drums, 44, 310.0, 1, 64
Piano, 54, 310.0, 1, 80
Piano, 69, 310.0, 1, 66
Piano, 62, 310.0, 1, 74
Piano, 60, 310.0, 1, 66
Bass, 45, 311.0, 1, 72
Drums, 44, 311.0, 0.333, 70
Drums, 44, 311.666, 0.333, 72
Bar~78@312, Swing, 4/4, A, 140
Bass, 45, 312.0, 1, 68
Drums, 44, 312.0, 1, 60
Piano, 57, 312.0, 1, 63
Piano, 53, 312.0, 1, 66
Piano, 48, 312.0, 1, 80
Piano, 62, 312.0, 1, 79
Bass, 30, 313.0, 1, 61
Drums, 44, 313.0, 0.333, 80
Drums, 44, 313.666, 0.333, 78
Bass, 29, 314.0, 1, 66
Drums, 44, 314.0, 1, 75
Piano, 57, 314.0, 1, 69
Piano, 53, 314.0, 1, 72
Piano, 48, 314.0, 1, 78
Piano, 62, 314.0, 1, 65
Drums, 40, 314.666, 0.333, 69
Bass, 38, 315.0, 1, 61
Drums, 44, 315.0, 0.333, 80
Drums, 44, 315.666, 0.333, 73
Bar~79@316, Swing, 4/4, A, 140
Bass, 35, 316.0, 1, 61
Drums, 44, 316.0, 1, 74
Piano, 55, 316.0, 1, 72
Piano, 53, 316.0, 1, 60
Piano, 47, 316.0, 1, 76
Piano, 62, 316.0, 1, 80
Bass, 31, 317.0, 1, 68
Drums, 44, 317.0, 0.333, 72
Drums, 44, 317.666, 0.333, 78
Bass, 31, 318.0, 1, 79
Drums, 44, 318.0, 0.333, 74
Piano, 55, 318.0, 1, 78
Piano, 53, 318.0, 1, 80
Piano, 47, 318.0, 1, 75
Piano, 62, 318.0, 1, 73
Drums, 44, 318.666, 0.333, 73
Bass, 34, 319.0, 1, 61
Drums, 44, 319.0, 0.333, 68
Drums, 44, 319.666, 0.333, 68
Bar~80@320, Swing, 4/4, A, 140
Bass, 34, 320.0, 1, 73
Drums, 36, 320.0, 1, 61
Drums, 44, 320.0, 1, 70
Piano, 58, 320.0, 1, 60
Piano, 72, 320.0, 1, 64
Piano, 69, 320.0, 1, 80
Piano, 65, 320.0, 1, 78
Bass, 42, 321.0, 1, 67
Drums, 44, 321.0, 1, 71
Bass, 43, 322.0, 1, 77
Drums, 36, 322.0, 1, 69
Drums, 44, 322.0, 1, 64
Piano, 58, 322.0, 1, 78
Piano, 72, 322.0, 1, 69
Piano, 69, 322.0, 1, 72
Piano, 65, 322.0, 1, 66
Bass, 46, 323.0, 1, 76
Drums, 44, 323.0, 0.333, 71
Drums, 36, 323.666, 0.333, 78
Drums, 44, 323.666, 0.333, 68
Bar~81@324, Swing, 4/4, A, 140
Bass, 38, 324.0, 1, 65
Drums, 44, 324.0, 1, 79
Bass, 38, 325.0, 1, 77
Drums, 36, 325.0, 1, 61
Drums, 44, 325.0, 0.333, 70
Piano, 58, 325.0, 1, 76
Piano, 52, 325.0, 1, 64
Piano, 74, 325.0, 1, 63
Piano, 67, 325.0, 1, 79
Piano, 61, 325.0, 1, 72
Drums, 44, 325.666, 0.333, 64
Bass, 38, 326.0, 1, 61
Drums, 44, 326.0, 1, 80
Drums, 36, 326.666, 0.333, 70
Bass, 42, 327.0, 1, 72
Drums, 44, 327.0, 0.333, 65
Drums, 44, 327.666, 0.333, 66
Bar~82@328, Swing, 4/4, A, 140
Bass, 33, 328.0, 1, 70
Drums, 44, 328.0, 1, 62
Piano, 57, 328.0, 1, 79
Piano, 52, 328.0, 1, 73
Piano, 67, 328.0, 1, 65
Piano, 62, 328.0, 1, 63
Bass, 35, 329.0, 1, 67
Drums, 44, 329.0, 0.333, 78
Drums, 44, 329.666, 0.333, 63
Bass, 36, 330.0, 1, 71
Drums, 44, 330.0, 1, 66
Bass, 41, 331.0, 1, 77
Drums, 36, 331.0, 1, 74
Drums, 44, 331.0, 0.333, 61
Drums, 44, 331.666, 0.333, 77
Bar~83@332, Swing, 4/4, A, 140
Bass, 42, 332.0, 1, 80
Drums, 44, 332.0, 1, 74
Drums, 36, 332.666, 0.333, 69
Bass, 47, 333.0, 1, 65
Drums, 44, 333.0, 0.333, 65
Drums, 44, 333.666, 0.333, 69
Bass, 47, 334.0, 1, 65
Drums, 44, 334.0, 1, 64
Bass, 42, 335.0, 1, 68
Drums, 44, 335.0, 0.333, 76
Piano, 57, 335.0, 1, 62
Piano, 51, 335.0, 1, 68
Piano, 68, 335.0, 1, 78
Piano, 61, 335.0, 1, 76
Drums, 44, 335.666, 0.333, 71
Bar~84@336, Swing, 4/4, A, 140
Bass, 40, 336.0, 1, 72
Drums, 36, 336.0, 1, 60
Drums, 44, 336.0, 1, 80
Bass, 38, 337.0, 1, 61
Drums, 44, 337.0, 0.333, 75
Drums, 36, 337.666, 0.333, 72
Drums, 44, 337.666, 0.333, 80
Bass, 35, 338.0, 1, 62
Drums, 44, 338.0, 1, 77
Piano, 55, 338.0, 1, 69
Piano, 81, 338.0, 1, 68
Piano, 76, 338.0, 1, 77
Piano, 69, 338.0, 1, 75
Piano, 66, 338.0, 1, 68
Piano, 62, 338.0, 1, 80
Bass, 28, 339.0, 1, 79
Drums, 44, 339.0, 0.333, 70
Drums, 44, 339.666, 0.333, 71
Bar~85@340, Swing, 4/4, A, 140
Bass, 28, 340.0, 1, 80
Drums, 36, 340.0, 1, 80
Drums, 44, 340.0, 1, 61
Bass, 33, 341.0, 1, 60
Drums, 44, 341.0, 0.333, 76
Drums, 36, 341.666, 0.333, 77
Drums, 44, 341.666, 0.333, 62
Bass, 37, 342.0, 1, 66
Drums, 44, 342.0, 1, 61
Piano, 55, 342.0, 1, 61
Piano, 71, 342.0, 1, 79
Piano, 66, 342.0, 1, 67
Piano, 61, 342.0, 1, 65
Drums, 36, 342.666, 0.333, 73
Bass, 40, 343.0, 1, 80
Drums, 44, 343.0, 0.333, 74
Drums, 44, 343.666, 0.333, 79
Bar~86@344, Swing, 4/4, A, 140
Bass, 33, 344.0, 1, 77
Drums, 44, 344.0, 1, 71
